tar,c,s,humidity,s112,s112_315,labels
14030527,80.3,1.0,0.0,2.0,97.0,Coke_1030_Grade_A
14030528,82.99,1.03,0.0,1.86,97.14,Coke_1030_Grade_B
14030529,83.89,0.98,0.0,1.8,97.3,Coke_1030_Grade_B
14030530,83.65,0.87,0.0,1.83,97.17,Coke_1030_Grade_B
14030531,83.59,0.97,0.0,2.0,97.14,Coke_1030_Grade_B
14030601,83.78,0.82,0.0,2.0,97.25,Coke_1030_Grade_B
14030603,80.0,0.8,0.0,3.0,97.0,Coke_1030_Grade_A
14030606,84.11,0.92,0.0,2.12,97.25,Coke_1030_Grade_B
14030607,83.33,0.94,0.0,2.0,97.29,Coke_1030_Grade_B
14030608,84.06,0.94,0.0,2.8,96.8,Coke_1030_Grade_B
14030619,84.05,1.1,0.0,2.5,97.0,Coke_1030_Grade_B
14030620,82.8,1.1,0.0,1.5,97.5,Coke_1030_Grade_B
14030627,82.1,1.0,0.0,2.5,97.0,Coke_1030_Grade_B
14030629,83.51,0.93,0.0,2.71,96.71,Coke_1030_Grade_B
14030702,83.29,0.98,0.0,2.75,97.0,Coke_1030_Grade_B
14030703,81.1,0.9,0.0,2.5,97.0,Coke_1030_Grade_B
14030717,81.65,0.95,0.0,2.5,97.0,Coke_1030_Grade_B
14030718,83.47,0.97,0.0,2.33,97.0,Coke_1030_Grade_B
14030719,82.7,1.1,0.0,2.67,97.33,Coke_1030_Grade_B
14030722,83.54,1.08,0.0,2.6,97.2,Coke_1030_Grade_B
14030723,83.35,1.15,0.0,2.5,97.5,Coke_1030_Grade_B
14030724,82.63,1.17,0.0,2.33,97.67,Coke_1030_Grade_B
14030725,82.0,1.0,0.0,2.33,97.67,Coke_1030_Grade_B
14030726,83.4,1.0,0.0,2.29,97.57,Coke_1030_Grade_B
14030729,82.42,1.01,0.0,2.22,97.44,Coke_1030_Grade_B
14030730,82.0,1.03,0.0,2.0,97.67,Coke_1030_Grade_B
14030801,82.45,1.1,0.0,2.0,97.5,Coke_1030_Grade_B
14030802,81.9,1.0,0.0,2.0,98.0,Coke_1030_Grade_B
14030914,84.5,0.9,0.0,3.0,95.0,Coke_1030_Grade_B
14030915,84.9,0.9,0.0,1.0,97.0,Coke_1030_Grade_B
