tar,cao,mgo,s0_95,s95_508,labels
14030722,92.18,1.28,3.4,76.6,1
14030723,92.16,1.28,3.4,76.6,1
14030724,92.03,1.2,3.5,79.83,1
14030725,91.92,1.2,4.0,96.0,0
14030726,91.68,1.2,5.25,94.75,0
14030727,91.4,1.2,3.5,96.5,0
14030728,92.02,1.8,5.25,94.75,0
14030729,91.92,1.2,3.17,80.17,1
14030730,91.94,1.2,3.0,77.0,1
14030801,91.78,1.2,3.6,76.4,1
14030802,91.82,1.2,3.6,76.4,1
14030805,91.3,1.2,4.75,95.25,0
14030806,90.47,1.2,4.33,95.67,0
14030807,91.48,1.44,3.2,76.8,1
14030808,90.77,1.13,3.0,80.33,1
14030809,91.64,1.28,3.2,76.8,1
14030810,91.3,1.36,3.0,77.0,1
14030812,91.7,1.2,2.5,97.5,0
14030813,92.0,1.4,4.0,96.0,0
14030814,91.75,1.2,4.0,96.0,0
14030815,91.6,1.33,4.0,96.0,0
14030816,91.97,1.2,4.33,95.67,0
14030817,91.7,1.2,4.67,95.33,0
14030818,91.1,1.2,4.0,96.0,0
14030819,92.37,1.07,2.67,97.33,0
14030820,91.8,1.2,3.0,97.0,0
14030821,91.7,0.8,4.5,95.5,0
14030822,91.7,0.93,4.0,96.0,0
14030823,91.95,1.0,4.0,96.0,0
14030824,91.73,1.2,3.67,96.33,0
14030825,91.9,1.2,5.0,95.0,0
14030826,92.25,1.2,4.5,95.5,0
14030827,91.47,1.2,4.33,95.67,0
14030828,91.15,1.2,3.5,96.5,0
14030829,90.6,1.8,3.5,96.5,0
14030830,91.05,1.0,4.25,95.75,0
14030901,91.13,0.93,4.0,96.0,0
14030902,91.45,1.2,4.5,95.5,0
14030903,91.33,1.2,3.67,79.67,1
14030904,91.1,1.2,4.2,95.8,0
14030905,90.52,1.2,4.4,95.6,0
14030906,90.86,1.2,4.2,95.8,0
14030907,91.08,1.04,4.0,96.0,0
14030908,90.52,0.9,4.0,96.0,0
14030909,90.2,0.8,3.0,97.0,0
14030910,90.8,1.2,2.75,72.25,1
14030911,90.78,1.2,4.2,95.8,0
14030912,90.94,1.2,4.0,96.0,0
14030913,90.88,1.12,3.8,96.2,0
14030914,90.78,1.2,4.0,96.0,0
