tar,Coke_1030(c),Coke_1030(s),Coke_1030(humidity),Coke_1030(s112),Coke_1030(s112_315),Coke_1030(s315),Coke_Fine(c),Coke_Fine(s),Coke_Fine(humidity),Coke_Fine(s05),Coke_Fine(s05_335),Coke_Fine(s335),dolomite(cao),dolomite(mgo),dolomite(s0_95),dolomite(s95_385),dolomite(s385_1000),lime(cao),lime(mgo),lime(s0_95),lime(s95_508),dri(fe_metal),dri(fe_total),dri(md),dri(c),dri(cao),dri(sio2),dri(mgo),dri(al2o3),dri(p),dri(mno),dri(gunge),dri(feo),dri(feo_c)
14021020,81.69,1.22,0.13,2.14,96.18,1.68,76.91,1.47,0.0,3.86,94.71,1.43,54.1,34.8,4.0,96.0,0.0,91.05,1.2,2.5,47.5,81.53,87.7,92.93,1.7,0.3,1.62,0.2,0.3,0.04,0.01,8.83,7.93,4.79
14021021,81.69,1.22,0.13,2.14,96.18,1.68,81.5,1.02,0.0,4.0,92.0,4.0,54.5,33.3,2.5,97.5,0.0,91.25,1.2,2.0,48.0,79.03,86.7,91.17,1.8,0.3,1.67,0.26,0.32,0.04,0.01,9.3,9.86,5.48
14021022,81.69,1.22,0.13,2.14,96.18,1.68,98.68,0.25,0.0,1.0,99.0,0.0,54.6,34.0,3.0,97.0,0.0,91.33,1.22,3.86,84.26,80.42,87.14,92.3,1.64,0.0,0.0,0.0,0.0,0.0,0.0,9.29,8.65,5.29
14021023,81.69,1.22,0.13,2.14,96.18,1.68,96.61,0.34,0.0,1.47,98.18,0.35,54.45,33.05,3.5,96.5,0.0,90.5,1.2,2.0,48.0,80.6,87.3,92.32,1.7,0.22,1.39,0.22,0.25,0.02,0.01,9.08,8.62,5.07
14021024,83.03,0.83,0.0,2.33,97.67,0.0,80.73,1.0,0.0,3.67,93.0,3.33,55.07,33.61,2.68,82.3,0.14,90.1,1.2,0.8,19.2,80.35,86.95,92.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.36,8.49,4.72
14021025,82.38,0.92,0.0,3.75,96.0,0.25,91.53,0.6,0.0,2.1,96.7,1.2,54.7,33.6,3.0,97.0,0.0,90.22,1.2,1.0,24.0,80.83,86.43,93.5,1.87,0.6,3.52,0.48,0.64,0.08,0.02,10.1,7.2,3.87
14021026,82.08,1.0,0.0,2.5,96.75,0.75,80.73,1.3,0.0,3.67,93.0,3.33,54.5,33.25,3.5,96.5,0.0,90.28,1.2,1.0,24.0,79.13,86.47,91.53,1.57,0.0,0.0,0.0,0.0,0.0,0.0,9.87,9.43,6.0
14021027,82.45,1.02,0.0,2.75,97.25,0.0,80.07,1.37,0.0,2.33,92.67,5.0,55.2,34.0,3.0,97.0,0.0,90.38,1.2,1.0,24.0,80.93,87.23,92.77,1.7,0.31,1.82,0.22,0.32,0.04,0.01,9.26,8.1,4.9
14021028,82.2,1.0,0.0,3.0,96.5,0.5,80.87,1.14,0.0,3.71,93.14,3.14,55.3,34.0,2.0,98.0,0.0,90.35,1.3,1.25,23.75,80.63,87.0,92.67,1.9,0.3,1.72,0.26,0.32,0.04,0.01,9.28,8.19,4.34
14021029,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,80.9,87.0,93.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,9.32,7.85,4.09
14021030,81.69,1.22,0.13,2.14,96.18,1.68,80.44,1.25,0.0,4.12,93.5,2.38,55.07,33.61,2.68,82.3,0.14,90.43,1.2,1.33,32.0,82.0,87.36,93.84,1.8,0.18,1.13,0.16,0.2,0.02,0.01,9.3,6.9,3.84
14021101,81.69,1.22,0.13,2.14,96.18,1.68,80.1,1.3,0.0,4.0,94.0,2.0,54.2,34.5,4.0,96.0,0.0,90.47,1.2,1.33,32.0,80.3,86.8,92.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.54,8.36,4.63
14021102,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,55.1,33.5,3.0,97.0,0.0,90.4,1.2,1.67,31.67,82.1,88.05,93.25,1.8,0.46,2.59,0.31,0.48,0.05,0.02,8.45,7.65,4.28
14021103,81.69,1.22,0.13,2.14,96.18,1.68,80.7,1.37,0.0,2.0,93.0,5.0,54.8,33.7,3.0,97.0,0.0,90.65,1.2,2.5,47.5,81.77,87.77,93.13,1.8,0.3,1.84,0.31,0.33,0.03,0.01,8.71,7.72,4.32
14021104,83.23,0.63,0.0,3.33,96.67,0.0,82.07,1.23,0.0,4.33,93.0,2.67,54.7,33.7,4.0,96.0,0.0,91.55,2.43,27.58,72.42,81.55,87.35,93.35,1.8,0.23,1.32,0.16,0.24,0.03,0.01,9.19,7.46,4.23
14021105,83.32,0.78,0.0,2.8,94.6,2.6,84.34,1.08,0.1,2.29,96.54,1.17,54.6,34.0,4.0,96.0,0.0,91.33,1.22,3.86,84.26,81.55,87.65,93.05,1.8,0.23,1.24,0.14,0.23,0.03,0.01,8.8,7.85,4.38
14021106,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.33,1.22,3.86,84.26,81.6,87.2,93.57,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.4,7.2,4.02
14021107,81.22,0.96,0.0,2.6,96.6,0.8,84.34,1.08,0.1,2.29,96.54,1.17,54.75,33.25,3.5,96.5,0.0,91.21,1.29,24.11,75.89,81.77,87.6,93.37,1.87,0.33,1.87,0.24,0.33,0.04,0.01,8.86,7.5,4.11
14021108,80.37,1.0,0.0,2.33,94.33,3.33,84.34,1.08,0.1,2.29,96.54,1.17,54.8,33.35,3.0,97.0,0.0,91.25,1.2,4.0,96.0,81.42,87.5,93.04,1.72,0.18,1.09,0.16,0.2,0.02,0.01,9.04,7.82,4.55
14021109,83.4,0.9,0.0,2.33,95.0,2.67,84.34,1.08,0.1,2.29,96.54,1.17,54.1,32.4,4.0,96.0,0.0,90.92,1.2,5.5,94.5,81.27,87.17,93.2,1.83,0.3,1.72,0.27,0.32,0.04,0.01,9.31,7.59,4.19
14021110,83.6,0.93,0.0,2.33,94.67,3.0,84.34,1.08,0.1,2.29,96.54,1.17,54.17,32.57,1.33,32.0,0.0,90.75,1.2,4.0,96.0,81.7,87.73,93.13,1.53,0.62,3.57,0.63,0.66,0.06,0.03,9.0,7.76,5.14
14021111,83.6,1.0,0.0,2.5,94.5,3.0,84.34,1.08,0.1,2.29,96.54,1.17,55.4,33.7,2.0,98.0,0.0,91.2,1.2,4.0,96.0,79.85,87.35,91.42,1.68,0.22,1.34,0.24,0.24,0.02,0.01,8.83,9.65,5.84
14021112,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.67,32.97,2.33,64.33,0.0,90.9,1.2,4.5,95.5,81.97,88.13,93.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,8.3,7.93,4.43
14021113,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.63,33.03,2.33,64.33,0.0,91.33,1.22,3.86,84.26,81.7,87.97,92.87,1.77,0.0,0.0,0.0,0.0,0.0,0.0,8.47,8.06,4.65
14021114,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.63,33.33,2.33,64.33,0.0,91.8,1.2,3.0,97.0,80.9,87.37,92.6,1.73,0.31,1.84,0.3,0.33,0.03,0.01,9.05,8.32,4.79
14021115,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.83,32.97,1.67,65.0,0.0,91.24,1.14,2.14,55.0,78.97,87.0,90.77,1.67,0.31,1.69,0.26,0.32,0.04,0.01,9.03,10.34,6.2
14021116,81.69,1.22,0.13,2.14,96.18,1.68,80.67,1.37,0.0,3.29,93.0,3.71,54.67,33.23,2.0,64.67,0.0,91.94,1.12,3.0,77.0,79.7,87.1,91.47,1.77,0.31,1.88,0.29,0.34,0.03,0.01,9.01,9.52,5.37
14021117,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.65,32.2,1.5,48.5,0.0,91.33,1.22,3.86,84.26,79.03,86.83,91.03,1.83,0.32,1.83,0.27,0.33,0.03,0.01,9.1,10.03,5.49
14021118,81.69,1.22,0.13,2.14,96.18,1.68,80.2,1.4,0.0,2.67,92.67,4.67,54.95,33.3,1.75,48.25,0.0,91.7,1.2,4.5,95.5,80.7,87.07,92.67,1.8,0.32,1.68,0.21,0.31,0.04,0.01,9.31,8.19,4.58
