heat_no,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels
4032467,24.7,38.1,19.8,8.3,3.6,0.691,0.216,1.25,1.06,1.41,2
4032476,30.0,29.5,21.2,9.2,3.7,0.843,0.735,1.42,1.2,1.57,0
4032479,30.8,21.5,27.1,10.5,4.7,0.798,0.25,1.14,0.97,1.3,3
4032485,30.9,20.8,27.0,11.1,4.8,0.825,0.221,1.14,0.97,1.32,3
4032490,29.3,25.6,24.7,9.9,4.6,0.923,0.224,1.19,1.0,1.34,3
4032491,30.1,24.8,24.1,10.6,4.4,0.927,0.228,1.25,1.06,1.43,3
4032501,31.9,24.7,23.5,9.7,4.1,1.043,0.201,1.36,1.16,1.51,0
4032505,32.0,23.8,24.0,9.8,4.4,1.011,0.205,1.33,1.13,1.47,3
4032507,32.4,22.9,24.5,9.8,4.4,0.926,0.213,1.32,1.12,1.46,3
4032511,29.6,25.0,25.0,10.2,4.6,0.824,0.22,1.18,1.0,1.34,3
4032515,26.4,33.7,21.8,8.9,3.7,0.758,0.248,1.21,1.04,1.38,2
4032520,28.1,24.4,26.5,10.7,4.8,0.81,0.216,1.06,0.9,1.24,3
4032525,29.1,23.4,26.6,10.7,4.7,0.815,0.219,1.09,0.93,1.27,3
4032528,30.9,21.4,26.8,10.6,4.7,0.83,0.219,1.15,0.98,1.32,3
4032531,30.7,25.9,24.0,9.1,4.7,0.821,0.225,1.28,1.07,1.39,3
4032535,30.1,27.4,23.8,8.8,4.3,0.837,0.229,1.26,1.07,1.38,3
4032540,31.5,24.2,24.7,9.6,4.2,0.927,0.21,1.28,1.09,1.42,3
4032545,27.9,28.8,23.5,9.7,4.3,0.846,0.215,1.19,1.0,1.35,3
4032549,29.3,23.8,25.2,11.6,4.4,0.718,0.205,1.16,0.99,1.38,3
4032550,27.5,26.6,25.0,10.7,4.6,0.72,0.217,1.1,0.93,1.29,3
4032555,23.5,31.7,24.5,10.4,4.6,0.516,0.232,0.96,0.81,1.16,2
4032560,30.6,30.7,19.9,9.4,3.7,0.734,0.178,1.54,1.3,1.69,0
4032562,30.0,29.9,20.4,9.9,4.0,0.621,0.217,1.47,1.23,1.64,0
4032565,25.3,37.2,18.7,10.0,3.3,0.489,0.213,1.35,1.15,1.6,2
4032568,28.6,25.5,24.6,11.2,4.4,0.561,0.259,1.16,0.99,1.37,3
4032570,29.6,22.1,25.3,12.6,4.6,0.583,0.269,1.17,0.99,1.41,3
4032572,27.2,28.0,23.1,12.1,4.0,0.57,0.214,1.18,1.0,1.45,1
4032575,26.5,31.6,20.7,12.3,3.8,0.501,0.221,1.28,1.08,1.58,1
4032578,24.5,33.5,20.4,12.8,3.7,0.378,0.22,1.2,1.02,1.55,1
4032581,26.2,26.7,25.8,11.3,4.8,0.6,0.199,1.02,0.86,1.23,3
4032582,26.2,32.3,21.4,10.7,4.1,0.762,0.178,1.22,1.03,1.45,2
4032585,26.2,32.6,21.4,10.4,3.9,0.778,0.176,1.22,1.04,1.45,2
4032587,27.2,27.4,22.3,13.6,4.5,0.424,0.263,1.22,1.01,1.52,1
4032590,26.1,28.5,22.3,13.7,4.2,0.471,0.245,1.17,0.98,1.5,1
4032597,23.9,34.6,21.0,11.0,3.9,0.704,0.2,1.14,0.96,1.4,2
4032598,25.8,28.5,23.9,11.6,4.7,0.646,0.234,1.08,0.9,1.31,3
4032600,26.3,33.0,20.1,11.3,4.0,0.473,0.25,1.31,1.09,1.56,1
4032602,22.0,38.8,17.3,12.7,3.9,0.417,0.232,1.27,1.04,1.64,2
4032603,20.8,37.1,19.1,13.6,4.2,0.401,0.227,1.09,0.89,1.48,1
4032604,24.7,29.6,21.1,14.7,4.7,0.41,0.249,1.17,0.96,1.53,1
4032605,22.8,34.1,19.9,13.9,4.1,0.422,0.232,1.15,0.95,1.53,1
4032607,23.6,31.7,19.8,15.3,4.5,0.36,0.214,1.19,0.97,1.6,1
4032614,20.1,41.0,16.1,13.8,3.6,0.428,0.23,1.25,1.02,1.72,2
4032615,20.8,39.5,16.6,14.0,3.7,0.43,0.194,1.25,1.02,1.71,2
4032616,20.5,34.4,18.6,16.2,4.8,0.414,0.231,1.1,0.88,1.57,1
4032618,19.7,36.1,18.7,15.8,4.4,0.347,0.209,1.05,0.85,1.54,1
4032621,19.7,32.8,19.3,17.7,5.1,0.358,0.207,1.02,0.81,1.53,1
4032627,25.9,29.0,21.7,13.2,4.6,0.583,0.279,1.19,0.98,1.49,1
4032630,24.3,25.6,24.0,15.1,5.8,0.355,0.333,1.01,0.82,1.32,1
4032632,22.9,26.4,24.4,15.7,5.5,0.415,0.269,0.94,0.77,1.29,1
4032635,30.6,20.1,25.1,13.4,5.5,0.481,0.316,1.22,1.0,1.44,1
