heat_no,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels
4034091,26.4,32.2,21.5,10.7,3.9,0.668,0.258,1.23,1.04,1.46,2
4034092,26.5,28.0,24.1,11.5,4.4,0.703,0.221,1.1,0.93,1.33,3
4034096,28.0,28.6,22.8,11.1,4.0,0.761,0.209,1.23,1.04,1.46,3
4034100,25.4,34.2,21.2,10.0,3.7,0.714,0.193,1.2,1.02,1.42,2
4034107,25.5,37.3,19.5,8.5,3.5,0.685,0.218,1.31,1.11,1.48,2
4034109,26.7,35.1,19.6,9.3,3.5,0.735,0.191,1.36,1.16,1.56,2
4034113,28.7,28.9,22.6,10.0,4.0,0.826,0.193,1.27,1.08,1.45,0
4034115,30.7,23.8,24.3,10.9,4.4,0.85,0.22,1.26,1.07,1.45,3
4034119,27.3,30.2,21.8,10.7,4.1,0.787,0.212,1.25,1.05,1.47,0
4034120,23.6,37.8,19.4,9.9,3.6,0.722,0.187,1.22,1.03,1.46,2
4034122,25.2,36.2,20.1,9.3,3.6,0.722,0.18,1.25,1.06,1.46,2
4034130,27.0,36.1,18.9,8.8,3.4,0.735,0.258,1.43,1.21,1.61,2
4034125,27.0,34.1,20.0,9.6,3.8,0.774,0.185,1.35,1.13,1.54,2
4034133,29.3,27.1,22.6,11.5,4.0,0.774,0.21,1.3,1.1,1.53,0
4034135,30.2,28.0,22.8,9.3,4.0,0.849,0.22,1.32,1.13,1.47,0
4034140,27.6,33.3,20.3,9.4,3.7,0.918,0.199,1.36,1.15,1.54,2
4034145,29.7,28.4,22.3,9.7,4.3,0.843,0.241,1.33,1.12,1.48,0
4034148,28.4,29.9,21.8,10.2,4.0,0.858,0.227,1.3,1.1,1.5,0
4034151,28.7,32.2,20.1,9.4,3.7,0.833,0.198,1.43,1.21,1.6,0
4034154,27.4,32.7,20.1,10.2,3.7,0.83,0.195,1.36,1.15,1.58,2
4034156,27.8,32.7,20.1,9.9,3.6,0.824,0.194,1.38,1.17,1.59,0
4034165,31.3,22.5,25.0,11.0,4.7,0.879,0.229,1.25,1.05,1.42,3
4034167,29.9,23.8,24.2,12.3,4.5,0.714,0.213,1.24,1.04,1.47,0
4034171,29.3,28.3,22.3,10.6,4.0,0.788,0.204,1.31,1.11,1.52,0
4034178,28.8,31.1,21.0,9.5,3.9,0.897,0.22,1.37,1.16,1.54,0
4034179,26.7,34.3,19.8,9.9,3.7,0.838,0.217,1.35,1.14,1.56,2
4034181,33.8,18.8,25.1,11.9,4.4,0.853,0.216,1.35,1.15,1.55,3
4034184,29.2,28.2,21.2,11.5,3.8,0.988,0.205,1.38,1.17,1.63,0
4034185,29.3,26.5,23.1,10.8,4.2,0.974,0.218,1.27,1.07,1.47,0
4034190,28.8,27.9,22.2,11.3,4.1,1.04,0.165,1.3,1.1,1.52,0
4034193,27.9,30.7,21.7,10.1,3.9,0.851,0.185,1.29,1.09,1.48,0
4034198,33.1,18.9,25.1,12.4,4.5,1.02,0.224,1.32,1.12,1.54,3
4034201,33.9,18.0,25.3,12.3,4.5,0.99,0.227,1.34,1.14,1.55,3
4034203,31.5,22.1,23.5,12.6,4.5,1.018,0.243,1.34,1.13,1.57,3
4034204,31.4,17.9,26.8,13.1,5.0,0.932,0.256,1.17,0.99,1.4,3
4034205,31.3,20.0,24.8,13.6,4.6,0.984,0.237,1.26,1.06,1.53,3
4034206,30.5,19.1,25.4,14.5,4.7,0.929,0.24,1.2,1.01,1.5,3
4034213,26.7,30.4,21.3,11.7,4.2,0.868,0.231,1.25,1.05,1.51,0
4034214,28.4,24.1,24.4,12.7,4.7,0.949,0.233,1.16,0.98,1.41,3
4034211,30.3,20.5,25.7,12.3,5.2,0.869,0.252,1.18,0.98,1.38,3
4034212,32.4,18.0,26.5,12.2,4.9,0.975,0.227,1.22,1.03,1.42,3
4034219,29.9,25.8,22.6,11.5,4.1,1.029,0.216,1.32,1.12,1.55,0
4034220,30.3,24.2,23.5,11.7,4.1,1.041,0.213,1.29,1.1,1.52,3
4034222,29.1,27.1,22.2,11.5,4.1,1.002,0.211,1.31,1.11,1.54,0
4034225,26.7,31.9,20.2,11.4,3.8,0.972,0.2,1.32,1.11,1.59,2
4034229,30.1,23.0,23.8,12.5,4.5,1.018,0.231,1.26,1.06,1.51,3
4034231,29.6,23.2,23.8,12.9,4.4,1.004,0.225,1.24,1.05,1.51,3
4034234,25.5,32.2,21.4,11.0,4.2,0.948,0.229,1.19,1.0,1.43,2
4034236,23.2,35.3,21.4,10.5,4.0,0.803,0.244,1.08,0.91,1.33,2
4034237,23.5,34.5,21.1,11.2,4.1,0.835,0.238,1.11,0.93,1.38,2
4034241,24.2,35.6,19.9,10.4,3.9,0.906,0.227,1.22,1.02,1.45,2
4034245,23.8,39.6,17.7,9.4,3.5,0.899,0.205,1.34,1.12,1.57,2
4034250,23.9,36.5,19.9,10.0,3.7,0.866,0.213,1.2,1.01,1.44,2
4034254,23.8,37.9,18.9,10.0,3.5,0.848,0.216,1.26,1.06,1.51,2
4034260,25.3,36.7,18.9,9.9,3.7,0.878,0.223,1.34,1.12,1.56,2
4034261,26.9,34.6,20.1,9.1,3.9,0.795,0.267,1.34,1.12,1.5,2
4034262,26.8,30.4,22.3,10.7,4.3,0.95,0.254,1.2,1.01,1.41,0
4034265,23.5,37.2,20.2,9.7,4.0,0.817,0.207,1.16,0.97,1.37,2
4034275,28.3,28.6,22.6,10.4,4.5,0.906,0.257,1.25,1.04,1.43,3
4034276,27.9,28.5,22.8,10.7,4.5,0.902,0.249,1.22,1.02,1.41,3
4034289,28.6,28.2,23.3,9.8,4.3,0.91,0.253,1.23,1.04,1.39,3
4034290,25.3,34.2,20.3,10.7,3.8,0.826,0.195,1.25,1.05,1.49,2
4034294,24.9,37.5,17.9,10.3,4.0,0.875,0.232,1.39,1.14,1.61,2
4034298,30.2,26.6,23.1,9.9,4.7,0.94,0.253,1.31,1.09,1.44,0
4034300,31.2,22.8,24.4,11.4,4.5,1.002,0.229,1.28,1.08,1.47,3
4034304,28.1,26.6,23.9,11.2,4.6,0.902,0.244,1.18,0.99,1.38,3
4034305,29.9,20.3,27.0,12.0,5.2,0.864,0.258,1.11,0.93,1.3,3
4034308,32.5,19.7,26.3,11.2,4.8,0.918,0.231,1.24,1.05,1.41,3
4034313,30.9,22.8,25.3,10.7,4.5,0.904,0.194,1.22,1.04,1.4,3
4034315,29.9,24.6,25.0,10.2,4.6,0.932,0.182,1.2,1.01,1.35,3
4034316,31.0,25.0,23.5,10.3,4.3,0.905,0.184,1.32,1.12,1.49,3
4034310,32.2,19.9,26.2,10.6,5.2,0.897,0.228,1.23,1.03,1.36,3
4034319,30.3,23.6,24.3,11.0,4.8,0.844,0.207,1.25,1.04,1.42,3
4034321,30.5,23.3,24.5,10.9,4.8,0.869,0.212,1.24,1.04,1.41,3
4034322,30.3,24.1,23.7,11.2,4.6,0.933,0.209,1.28,1.07,1.47,3
4034326,27.8,30.2,19.4,13.1,3.6,0.843,0.209,1.43,1.21,1.78,0
4034328,27.6,32.2,19.6,11.2,3.6,0.839,0.192,1.41,1.19,1.67,0
4034330,28.4,31.4,19.6,10.8,3.9,0.852,0.202,1.45,1.21,1.67,0
4034334,27.6,27.7,19.3,15.7,3.7,0.847,0.222,1.43,1.2,1.88,0
4034336,24.4,37.8,18.6,9.6,3.7,0.787,0.21,1.31,1.09,1.52,2
4034337,24.6,36.6,18.6,10.7,3.6,0.803,0.219,1.32,1.11,1.59,2
4034340,24.3,39.0,18.2,9.1,3.6,0.733,0.208,1.33,1.11,1.53,2
4034342,23.0,40.4,18.2,9.2,3.4,0.753,0.191,1.26,1.06,1.49,2
4034345,25.4,35.8,19.3,10.1,3.6,0.766,0.188,1.32,1.11,1.55,2
4034346,27.9,31.2,21.2,9.9,3.8,0.827,0.165,1.32,1.12,1.51,2
4034352,28.2,33.5,19.5,9.5,3.6,0.872,0.218,1.45,1.22,1.63,0
4034354,30.2,21.5,26.3,11.2,5.2,0.769,0.268,1.15,0.96,1.31,3
4034360,25.1,36.7,18.3,10.3,3.5,0.83,0.271,1.37,1.15,1.62,2
4034364,24.9,36.4,18.4,10.8,3.6,0.809,0.23,1.35,1.13,1.62,2
4034365,25.1,35.0,19.6,10.4,4.0,0.84,0.238,1.28,1.06,1.5,2
4034367,25.2,36.1,18.8,10.2,3.8,0.841,0.211,1.34,1.12,1.57,2
4034372,25.1,36.4,18.8,10.0,3.7,0.798,0.233,1.34,1.12,1.56,2
4034375,26.1,33.8,19.5,10.8,3.8,0.82,0.247,1.34,1.12,1.58,2
4034381,26.8,31.5,22.0,9.7,4.2,0.86,0.252,1.22,1.02,1.39,0
4034386,28.5,30.2,21.4,10.3,3.9,0.915,0.235,1.33,1.13,1.53,0
4034389,26.7,35.3,19.3,9.4,3.7,0.839,0.214,1.38,1.16,1.57,2
4034390,28.0,32.1,20.5,9.6,4.1,0.843,0.239,1.37,1.14,1.53,0
4034393,26.3,33.9,20.6,9.6,3.9,0.85,0.236,1.28,1.07,1.47,2
4034395,26.0,35.7,19.0,10.0,3.7,0.864,0.251,1.37,1.15,1.59,2
4034400,26.9,34.5,20.2,8.7,3.8,0.812,0.26,1.33,1.12,1.48,2
4034407,25.5,34.9,19.9,10.1,3.6,0.824,0.241,1.28,1.09,1.51,2
4034409,31.7,23.4,24.0,10.6,4.2,0.898,0.284,1.32,1.12,1.5,3
4034410,32.8,20.2,25.2,10.5,5.2,0.87,0.34,1.3,1.08,1.42,3
4034413,26.7,32.0,21.3,10.2,4.1,0.84,0.275,1.25,1.05,1.45,0
4034415,28.0,32.0,20.2,10.0,4.0,0.816,0.27,1.39,1.16,1.57,0
4034416,24.5,36.1,20.0,9.9,3.8,0.848,0.258,1.23,1.03,1.45,2
4034421,27.9,33.3,19.5,9.8,3.9,0.851,0.231,1.43,1.19,1.61,0
4034425,27.5,32.1,21.3,9.4,3.9,0.855,0.227,1.29,1.09,1.46,2
4034427,27.6,30.2,22.0,10.5,4.0,0.851,0.248,1.25,1.06,1.47,0
4034430,31.4,24.8,24.5,9.3,4.3,0.914,0.286,1.28,1.09,1.41,3
4034433,29.2,28.3,22.3,10.7,3.9,0.861,0.266,1.31,1.11,1.52,0
4034435,28.0,32.2,20.5,9.7,4.0,0.868,0.268,1.37,1.14,1.54,0
4034439,31.1,29.6,20.0,10.0,3.7,0.864,0.246,1.56,1.31,1.73,0
4034440,28.6,34.0,18.6,9.8,3.5,0.864,0.23,1.54,1.29,1.74,2
4034442,30.4,30.6,19.8,10.2,3.5,0.868,0.228,1.54,1.3,1.74,0
4034445,31.1,30.6,19.2,9.9,3.6,0.906,0.232,1.62,1.36,1.8,0
4034448,31.1,27.9,21.3,10.2,3.9,0.969,0.257,1.46,1.23,1.64,0
4034453,27.1,32.3,20.8,10.1,3.7,0.793,0.222,1.3,1.11,1.52,2
4034456,25.4,37.3,17.8,10.0,3.5,0.812,0.21,1.43,1.19,1.66,2
4034460,26.9,33.2,20.0,10.2,3.8,0.891,0.207,1.34,1.13,1.56,2
4034462,27.1,33.2,20.0,10.0,3.7,0.854,0.215,1.35,1.14,1.57,2
4034465,24.6,35.1,20.2,10.4,3.9,0.826,0.204,1.22,1.02,1.45,2
4034467,25.7,35.3,19.8,9.7,3.7,0.857,0.19,1.3,1.09,1.51,2
4034470,27.9,29.4,22.0,10.8,3.9,0.886,0.227,1.27,1.08,1.49,0
4034471,30.0,24.7,22.3,12.7,4.2,0.867,0.25,1.35,1.13,1.61,0
4034475,28.2,29.3,21.6,11.0,3.9,0.877,0.222,1.31,1.11,1.54,0
4034477,27.9,30.8,21.1,10.6,3.5,0.865,0.214,1.32,1.13,1.57,2
4034482,27.8,31.6,20.6,10.4,3.8,0.879,0.245,1.35,1.14,1.57,2
4034490,27.0,33.2,19.2,11.1,3.8,0.841,0.249,1.41,1.17,1.66,0
4034491,27.4,32.3,20.5,10.0,3.9,0.902,0.237,1.34,1.12,1.53,2
4034493,26.5,33.7,19.7,10.5,3.7,0.865,0.238,1.35,1.13,1.58,2
4034494,24.6,38.2,17.8,10.2,3.4,0.791,0.231,1.38,1.16,1.64,2
4034496,24.4,37.8,18.2,10.7,3.2,0.767,0.232,1.34,1.14,1.64,2
4034503,23.7,39.9,17.2,10.3,3.1,0.777,0.218,1.38,1.17,1.67,2
4034504,25.0,36.0,18.9,10.9,3.4,0.783,0.247,1.32,1.12,1.61,2
4034506,23.8,40.0,17.0,10.2,3.3,0.779,0.229,1.4,1.17,1.67,2
4034508,23.5,39.8,17.7,9.8,3.4,0.79,0.223,1.33,1.11,1.58,2
4034511,22.8,40.8,17.5,9.7,3.5,0.737,0.213,1.3,1.09,1.55,2
4034513,23.0,41.3,17.1,9.7,3.5,0.782,0.231,1.35,1.12,1.59,2
4034517,22.5,40.6,17.3,10.6,3.2,0.772,0.267,1.3,1.1,1.61,2
4034520,25.7,34.9,19.8,10.3,3.7,0.911,0.252,1.3,1.09,1.53,2
4034521,24.8,36.2,19.2,10.4,3.5,0.867,0.25,1.29,1.09,1.55,2
4034524,24.3,36.6,19.2,10.8,3.5,0.856,0.245,1.27,1.07,1.55,2
4034525,25.3,35.3,19.7,10.5,3.6,0.842,0.24,1.28,1.09,1.54,2
4034527,25.6,35.1,19.3,10.7,3.7,0.846,0.257,1.33,1.11,1.58,2
4034530,25.9,34.9,19.4,10.4,3.7,0.858,0.251,1.34,1.12,1.57,2
4034534,28.7,27.0,22.4,12.2,3.9,0.888,0.272,1.28,1.09,1.56,0
4034541,30.6,26.0,22.5,11.1,4.1,0.998,0.261,1.36,1.15,1.57,0
4034545,31.5,19.3,25.9,12.5,5.2,0.924,0.295,1.22,1.01,1.41,3
4034548,34.9,16.8,25.5,12.9,4.5,0.824,0.26,1.37,1.16,1.59,3
4034551,32.1,19.4,25.7,12.6,4.7,0.848,0.246,1.25,1.06,1.47,3
4034553,31.1,21.7,24.5,12.6,4.5,0.925,0.223,1.27,1.07,1.51,3
4034555,31.2,22.6,24.4,12.0,4.3,0.843,0.235,1.28,1.09,1.51,3
4034556,29.9,24.6,23.5,12.1,4.3,0.9,0.238,1.27,1.08,1.51,3
4034560,29.4,25.9,23.1,12.0,4.1,0.893,0.254,1.27,1.08,1.52,0
4034563,28.6,31.2,20.6,9.8,4.0,0.841,0.256,1.39,1.16,1.56,0
4034565,34.5,16.9,26.2,11.8,4.6,0.971,0.258,1.32,1.12,1.5,3
4034567,30.9,24.4,22.9,11.7,4.2,0.912,0.272,1.35,1.14,1.57,0
4034570,33.4,20.2,24.7,11.4,4.4,0.824,0.238,1.35,1.15,1.54,3
4034571,33.9,13.2,28.8,13.0,5.4,0.673,0.263,1.18,0.99,1.37,3
4034575,33.7,15.7,27.7,12.1,5.0,0.842,0.24,1.22,1.03,1.4,3
4034578,31.0,21.8,24.9,11.7,4.8,0.865,0.242,1.24,1.04,1.44,3
4034580,31.4,19.9,25.6,12.3,4.9,0.938,0.26,1.23,1.03,1.43,3
