Heat,Coke_1030_Label,Coke_fine_Label,dolo_Label,dri_Label,lime_Label,Slag_Label,Duration,Power On,Power Off,Delays,DRI [t],Ele [kWh],Ele [kWh/t],Ele [MW],Tapped [t],Tapped [kWh/t],Last Temp [C],Last Temp [kWh/t],O2 [Nm3],CH4 [Nm3],C.inj [kg],Chemical [MWh],C [kg],CaO [kg],MgO [kg],Tapping Time [Sec],EAF_DRI,HDRI(T),First C,First Temp
4024712.0,1,1,1,1,0,1,60.0,49.0,10.0,5.0,29.47306061,91472.07031,1858.491089,110.3180771,199.7000122,458.0473938,1617.099976,1031.754883,5024.790039,572.9584351,1582.625366,15056.70996,2007.5,8750.40625,8987.494141,327.0,29473.0625,169.6999969,0.084683001,1606.800049
4024713.0,1,1,1,1,0,1,58.0,50.0,8.0,3.0,34.55282974,99031.39844,1786.470703,117.4285355,182.5,542.6378174,1599.099976,1099.408325,5784.433105,661.4578247,1909.999634,17337.75977,2027.800049,8859.602539,9993.866211,295.0,34552.82813,181.3999939,0.056037001,1643.0
4024714.0,1,1,1,1,0,1,59.0,50.0,8.0,3.0,58.71393967,100180.0625,1253.640137,119.0258179,179.5596466,557.9208374,1581.0,841.5723877,5953.727539,783.2617188,1736.0,18111.53906,2003.5,9032.707031,10161.18945,287.0,58713.94141,159.0,0.074458003,1563.599976
4024715.0,1,1,1,1,0,0,64.0,54.0,9.0,4.0,110.2336426,109342.2422,826.8834839,119.4634476,178.2999878,613.2487183,1581.800049,633.2213135,6386.214844,727.3358765,2445.99585,19133.85938,2003.200073,9071.319336,10926.00391,295.0,110233.6406,108.1999969,0.075646996,1523.099976
4024716.0,1,1,1,1,0,0,61.0,53.0,8.0,3.0,98.84584808,105039.4297,872.5648804,118.8751831,180.2000122,582.9046631,1601.400024,651.6425171,6102.349609,803.6337891,1778.666626,18565.78906,2000.400024,9211.115234,10322.71484,303.0,98845.85156,115.6999969,0.060865,1570.099976
4024717.0,1,1,1,1,0,0,68.0,55.0,12.0,7.0,92.51560974,107061.9453,935.6146851,114.8117371,191.0999908,560.2404785,1559.900024,693.8295288,5859.226563,676.0545044,2026.543213,17577.66016,2005.899902,9291.414063,10616.60254,303.0,92515.60938,125.0999985,0.077811003,1523.199951
4024718.0,1,1,1,1,0,0,69.0,60.0,9.0,4.0,92.15122986,115449.0703,992.6977539,115.3529434,177.7000122,649.6852417,1581.099976,731.9153442,6370.887207,738.2214966,2491.666016,19120.76953,2004.300049,10451.30957,11691.4668,292.0,92151.22656,145.1999969,0.063948996,1594.199951
4024719.0,1,1,1,1,0,0,68.0,57.0,11.0,6.0,79.23429871,111380.5469,1101.143433,116.9349594,167.9013519,663.3689575,1564.900024,766.8276367,6007.538086,789.8927612,2395.0,18274.07031,2001.799927,9196.917969,10716.88477,286.0,79234.30469,139.6000061,0.064228997,1520.900024
4024721.0,1,1,1,1,0,0,63.0,55.0,8.0,3.0,91.68202972,108482.5234,931.7991333,117.4194489,173.7108002,624.5007324,1589.900024,685.1386108,6455.030273,742.4506226,2162.0,19358.94922,2003.0,11406.92188,11330.69434,294.0,91682.03125,131.8999939,0.423014998,1503.800049
4024722.0,1,1,1,1,0,0,62.0,54.0,8.0,3.0,77.6395874,105232.7891,1060.306885,116.7811432,182.232193,577.4653931,1610.0,747.5487671,5716.060547,752.0847168,2294.888916,17388.78906,2007.900024,9399.503906,10200.49023,300.0,77639.59375,131.8999939,0.077399001,1513.0
