heat_no,tar (Slag),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag)
4032917,14030616,25.4,32.6,21.0,11.6,3.8,0.735,0.211,1.21,1.02,1.49
4032918,14030616,29.9,23.5,24.1,12.3,4.2,0.842,0.229,1.24,1.06,1.49
4032925,14030617,30.0,24.8,24.2,11.0,4.4,0.817,0.239,1.25,1.05,1.44
4032927,14030617,33.3,17.9,27.5,11.1,4.7,0.759,0.243,1.21,1.03,1.38
4032930,14030618,29.8,24.3,25.3,10.7,4.3,0.876,0.234,1.18,1.01,1.37
4032932,14030618,29.0,25.0,25.3,11.0,4.2,0.855,0.239,1.15,0.98,1.36
4032938,14030618,28.8,24.1,25.9,11.1,4.5,0.805,0.282,1.11,0.95,1.31
4032940,14030618,28.2,24.6,25.5,11.6,4.5,0.803,0.248,1.11,0.94,1.33
4032945,14030618,26.8,31.7,21.7,10.7,3.8,0.774,0.207,1.24,1.05,1.47
4032947,14030618,25.2,36.5,19.0,10.2,3.6,0.712,0.213,1.33,1.12,1.57
4032955,14030619,26.3,31.5,22.0,10.5,3.8,0.74,0.249,1.2,1.02,1.43
4032957,14030619,26.9,27.6,24.0,11.3,4.2,0.736,0.257,1.12,0.95,1.35
4032960,14030619,25.3,31.2,22.6,10.6,4.4,0.749,0.278,1.12,0.94,1.33
4032962,14030619,28.9,26.8,22.8,11.1,4.3,0.764,0.345,1.27,1.07,1.48
4032966,14030619,27.0,28.6,23.0,11.5,4.0,0.783,0.23,1.17,1.0,1.43
4032968,14030619,26.5,29.1,23.1,11.4,4.0,0.776,0.235,1.15,0.98,1.4
4032972,14030619,26.1,30.8,22.1,11.4,3.8,0.742,0.212,1.18,1.01,1.45
4032975,14030620,26.0,29.2,23.9,11.2,4.2,0.799,0.253,1.09,0.93,1.32
4032977,14030620,23.6,36.4,20.6,10.4,3.7,0.705,0.226,1.15,0.97,1.4
4032985,14030620,25.1,32.8,21.7,11.1,3.8,0.772,0.222,1.16,0.98,1.42
4032990,14030620,28.7,26.6,23.7,11.5,3.9,0.887,0.212,1.21,1.04,1.46
4032994,14030620,25.8,32.6,21.8,10.6,3.8,0.759,0.206,1.18,1.01,1.42
4033000,14030621,22.7,36.6,20.0,11.3,3.6,0.756,0.165,1.14,0.96,1.44
4033001,14030621,22.9,37.6,20.1,10.5,3.3,0.719,0.155,1.14,0.98,1.43
4033004,14030621,23.6,35.2,21.8,10.0,3.7,0.767,0.172,1.08,0.93,1.32
4033006,14030621,23.9,35.4,20.8,10.4,3.8,0.718,0.174,1.15,0.97,1.39
