heat_no,tar (Slag),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag)
4034346,14030902,27.9,31.2,21.2,9.9,3.8,0.827,0.165,1.32,1.12,1.51
4034352,14030903,28.2,33.5,19.5,9.5,3.6,0.872,0.218,1.45,1.22,1.63
4034354,14030903,30.2,21.5,26.3,11.2,5.2,0.769,0.268,1.15,0.96,1.31
4034360,14030904,25.1,36.7,18.3,10.3,3.5,0.83,0.271,1.37,1.15,1.62
4034364,14030904,24.9,36.4,18.4,10.8,3.6,0.809,0.23,1.35,1.13,1.62
4034365,14030904,25.1,35.0,19.6,10.4,4.0,0.84,0.238,1.28,1.06,1.5
4034367,14030904,25.2,36.1,18.8,10.2,3.8,0.841,0.211,1.34,1.12,1.57
4034372,14030904,25.1,36.4,18.8,10.0,3.7,0.798,0.233,1.34,1.12,1.56
4034375,14030904,26.1,33.8,19.5,10.8,3.8,0.82,0.247,1.34,1.12,1.58
4034381,14030905,26.8,31.5,22.0,9.7,4.2,0.86,0.252,1.22,1.02,1.39
4034386,14030905,28.5,30.2,21.4,10.3,3.9,0.915,0.235,1.33,1.13,1.53
4034389,14030905,26.7,35.3,19.3,9.4,3.7,0.839,0.214,1.38,1.16,1.57
4034390,14030905,28.0,32.1,20.5,9.6,4.1,0.843,0.239,1.37,1.14,1.53
4034393,14030905,26.3,33.9,20.6,9.6,3.9,0.85,0.236,1.28,1.07,1.47
4034395,14030905,26.0,35.7,19.0,10.0,3.7,0.864,0.251,1.37,1.15,1.59
4034400,14030906,26.9,34.5,20.2,8.7,3.8,0.812,0.26,1.33,1.12,1.48
4034407,14030906,25.5,34.9,19.9,10.1,3.6,0.824,0.241,1.28,1.09,1.51
4034409,14030906,31.7,23.4,24.0,10.6,4.2,0.898,0.284,1.32,1.12,1.5
4034410,14030906,32.8,20.2,25.2,10.5,5.2,0.87,0.34,1.3,1.08,1.42
4034413,14030907,26.7,32.0,21.3,10.2,4.1,0.84,0.275,1.25,1.05,1.45
4034415,14030907,28.0,32.0,20.2,10.0,4.0,0.816,0.27,1.39,1.16,1.57
4034416,14030907,24.5,36.1,20.0,9.9,3.8,0.848,0.258,1.23,1.03,1.45
4034421,14030907,27.9,33.3,19.5,9.8,3.9,0.851,0.231,1.43,1.19,1.61
4034425,14030907,27.5,32.1,21.3,9.4,3.9,0.855,0.227,1.29,1.09,1.46
4034427,14030907,27.6,30.2,22.0,10.5,4.0,0.851,0.248,1.25,1.06,1.47
4034430,14030908,31.4,24.8,24.5,9.3,4.3,0.914,0.286,1.28,1.09,1.41
4034433,14030908,29.2,28.3,22.3,10.7,3.9,0.861,0.266,1.31,1.11,1.52
4034435,14030908,28.0,32.2,20.5,9.7,4.0,0.868,0.268,1.37,1.14,1.54
4034439,14030908,31.1,29.6,20.0,10.0,3.7,0.864,0.246,1.56,1.31,1.73
4034440,14030908,28.6,34.0,18.6,9.8,3.5,0.864,0.23,1.54,1.29,1.74
4034442,14030908,30.4,30.6,19.8,10.2,3.5,0.868,0.228,1.54,1.3,1.74
4034445,14030908,31.1,30.6,19.2,9.9,3.6,0.906,0.232,1.62,1.36,1.8
4034448,14030908,31.1,27.9,21.3,10.2,3.9,0.969,0.257,1.46,1.23,1.64
4034453,14030909,27.1,32.3,20.8,10.1,3.7,0.793,0.222,1.3,1.11,1.52
4034456,14030909,25.4,37.3,17.8,10.0,3.5,0.812,0.21,1.43,1.19,1.66
4034460,14030909,26.9,33.2,20.0,10.2,3.8,0.891,0.207,1.34,1.13,1.56
4034462,14030909,27.1,33.2,20.0,10.0,3.7,0.854,0.215,1.35,1.14,1.57
4034465,14030909,24.6,35.1,20.2,10.4,3.9,0.826,0.204,1.22,1.02,1.45
4034467,14030909,25.7,35.3,19.8,9.7,3.7,0.857,0.19,1.3,1.09,1.51
4034470,14030909,27.9,29.4,22.0,10.8,3.9,0.886,0.227,1.27,1.08,1.49
4034471,14030909,30.0,24.7,22.3,12.7,4.2,0.867,0.25,1.35,1.13,1.61
4034475,14030909,28.2,29.3,21.6,11.0,3.9,0.877,0.222,1.31,1.11,1.54
4034477,14030909,27.9,30.8,21.1,10.6,3.5,0.865,0.214,1.32,1.13,1.57
4034482,14030910,27.8,31.6,20.6,10.4,3.8,0.879,0.245,1.35,1.14,1.57
4034490,14030910,27.0,33.2,19.2,11.1,3.8,0.841,0.249,1.41,1.17,1.66
4034491,14030910,27.4,32.3,20.5,10.0,3.9,0.902,0.237,1.34,1.12,1.53
4034493,14030910,26.5,33.7,19.7,10.5,3.7,0.865,0.238,1.35,1.13,1.58
4034494,14030910,24.6,38.2,17.8,10.2,3.4,0.791,0.231,1.38,1.16,1.64
4034496,14030911,24.4,37.8,18.2,10.7,3.2,0.767,0.232,1.34,1.14,1.64
4034503,14030911,23.7,39.9,17.2,10.3,3.1,0.777,0.218,1.38,1.17,1.67
4034504,14030911,25.0,36.0,18.9,10.9,3.4,0.783,0.247,1.32,1.12,1.61
4034506,14030911,23.8,40.0,17.0,10.2,3.3,0.779,0.229,1.4,1.17,1.67
4034508,14030911,23.5,39.8,17.7,9.8,3.4,0.79,0.223,1.33,1.11,1.58
4034511,14030911,22.8,40.8,17.5,9.7,3.5,0.737,0.213,1.3,1.09,1.55
4034513,14030911,23.0,41.3,17.1,9.7,3.5,0.782,0.231,1.35,1.12,1.59
4034517,14030912,22.5,40.6,17.3,10.6,3.2,0.772,0.267,1.3,1.1,1.61
4034520,14030912,25.7,34.9,19.8,10.3,3.7,0.911,0.252,1.3,1.09,1.53
4034521,14030912,24.8,36.2,19.2,10.4,3.5,0.867,0.25,1.29,1.09,1.55
4034524,14030912,24.3,36.6,19.2,10.8,3.5,0.856,0.245,1.27,1.07,1.55
4034525,14030912,25.3,35.3,19.7,10.5,3.6,0.842,0.24,1.28,1.09,1.54
4034527,14030912,25.6,35.1,19.3,10.7,3.7,0.846,0.257,1.33,1.11,1.58
4034530,14030912,25.9,34.9,19.4,10.4,3.7,0.858,0.251,1.34,1.12,1.57
4034534,14030913,28.7,27.0,22.4,12.2,3.9,0.888,0.272,1.28,1.09,1.56
4034541,14030914,30.6,26.0,22.5,11.1,4.1,0.998,0.261,1.36,1.15,1.57
4034545,14030914,31.5,19.3,25.9,12.5,5.2,0.924,0.295,1.22,1.01,1.41
4034548,14030914,34.9,16.8,25.5,12.9,4.5,0.824,0.26,1.37,1.16,1.59
4034551,14030914,32.1,19.4,25.7,12.6,4.7,0.848,0.246,1.25,1.06,1.47
4034553,14030914,31.1,21.7,24.5,12.6,4.5,0.925,0.223,1.27,1.07,1.51
4034555,14030914,31.2,22.6,24.4,12.0,4.3,0.843,0.235,1.28,1.09,1.51
4034556,14030914,29.9,24.6,23.5,12.1,4.3,0.9,0.238,1.27,1.08,1.51
4034560,14030914,29.4,25.9,23.1,12.0,4.1,0.893,0.254,1.27,1.08,1.52
4034563,14030915,28.6,31.2,20.6,9.8,4.0,0.841,0.256,1.39,1.16,1.56
4034565,14030915,34.5,16.9,26.2,11.8,4.6,0.971,0.258,1.32,1.12,1.5
4034567,14030915,30.9,24.4,22.9,11.7,4.2,0.912,0.272,1.35,1.14,1.57
4034570,14030915,33.4,20.2,24.7,11.4,4.4,0.824,0.238,1.35,1.15,1.54
4034571,14030915,33.9,13.2,28.8,13.0,5.4,0.673,0.263,1.18,0.99,1.37
4034575,14030915,33.7,15.7,27.7,12.1,5.0,0.842,0.24,1.22,1.03,1.4
4034578,14030915,31.0,21.8,24.9,11.7,4.8,0.865,0.242,1.24,1.04,1.44
4034580,14030915,31.4,19.9,25.6,12.3,4.9,0.938,0.26,1.23,1.03,1.43
