tar,heat_no,type_dri,fe_metal,fe_total,md,c,s,cao,sio2,mgo,al2o3,p,mno,gunge,feo,dqi,feo_c
14021009,4025099,COLD,79.8,87.0,91.7,1.6,0.003,0.9,4.7,0.54,0.89,0.131,0.035,9.3373,9.2627,-1636890.7,5.789
14021009,4025106,HOT,79.4,87.2,91.1,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.065,10.035,89588.961,6.69
14021009,4025106,COLD,80.5,87.1,92.4,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.2092,8.4908,84370.387,4.717
14021009,4020000,COLD,81.7,87.7,93.2,2.2,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.3811,7.7189,78536.073,3.509
14021010,4025119,HOT,82.8,88.4,93.7,1.8,0.003,0.9,4.64,0.7,0.9,0.115,0.036,8.1957,7.2043,-1635349.3,4.002
14021010,4025119,COLD,81.6,86.5,94.3,1.6,0.003,0.91,5.13,0.7,0.94,0.109,0.037,10.496,6.3038,-1804589.2,3.94
14021010,4025126,HOT,79.8,86.3,92.5,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.138,8.3621,90527.087,4.919
14021010,4025126,COLD,81.1,86.8,93.4,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.7671,7.3329,81325.105,4.074
14021010,4025132,HOT,81.1,87.2,93.0,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.2525,7.8475,80538.864,4.36
14021010,4025132,COLD,83.3,88.5,94.1,2.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.0103,6.6897,64538.342,3.345
14021011,4025140,HOT,80.5,87.8,91.7,1.6,0.003,0.89,5.27,0.65,0.95,0.132,0.036,8.5087,9.3913,-1851992,5.87
14021011,4025140,COLD,82.7,87.9,94.1,1.7,0.003,0.9,5.19,0.79,0.96,0.106,0.039,8.9103,6.6897,-1836079,3.935
14021011,4025146,HOT,81.1,87.1,93.1,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.6811,7.7189,78774.196,5.146
14021011,4025146,COLD,82.0,87.0,94.3,2.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.5676,6.4324,77214.387,3.216
14021011,4025153,HOT,79.8,87.2,91.5,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.98,9.52,87903.326,5.6
14021011,4025153,COLD,81.2,87.1,93.2,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.4098,7.5902,79987.144,4.217
14021012,4025162,HOT,82.8,88.5,93.6,1.2,0.003,0.89,4.77,0.79,0.94,0.109,0.033,8.6671,7.3329,-1687168.1,6.111
14021012,4025162,COLD,82.8,87.9,94.2,1.6,0.003,0.9,5.01,0.71,0.93,0.112,0.035,9.0389,6.5611,-1771435.1,4.101
14021012,4020000,COLD,81.9,87.7,93.4,2.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.6384,7.4616,75732.027,3.731
14021012,4025168,HOT,78.4,86.0,91.2,1.4,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.423,9.7773,97922.023,6.984
14021012,4025168,COLD,80.6,87.1,92.5,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.2379,8.3621,83622.106,4.646
14021012,4025174,HOT,79.2,86.9,91.1,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.0941,9.9059,92781.711,5.503
14021012,4025174,COLD,81.5,87.2,93.5,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.3671,7.3329,78400.463,4.074
14021013,4025186,HOT,78.9,86.2,91.5,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.009,9.3913,95748.73,5.524
14021013,4025186,COLD,81.5,87.4,93.2,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.2098,7.5902,76498.88,4.465
14021013,4025192,HOT,78.3,87.9,89.1,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,7.65,12.35,96042.17,7.265
14021013,4025192,COLD,82.9,87.5,94.7,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.4822,5.9178,67535.835,3.481
14021014,4025203,HOT,82.5,88.7,93.0,1.5,0.003,0.9,5.1,0.82,0.97,0.107,0.034,8.0238,7.9762,-1805294.2,5.317
14021014,4025203,COLD,82.5,87.5,94.3,1.7,0.003,0.9,5.7,0.84,1.0,0.102,0.037,9.3676,6.4324,-2020926.4,3.784
14021014,4025208,HOT,80.0,87.2,91.7,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.1373,9.2627,85753.023,5.789
14021014,4025208,COLD,81.1,87.9,92.3,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.3519,8.7481,79162.944,4.86
