Heat,c (Coke1030),s (Coke1030),s112 (Coke1030),Coke1030_labels,c (CokeFine),s (CokeFine),s05 (CokeFine),CokeFine_labels,cao (Dolomite),mgo (Dolomite),s0_95 (Dolomite),s95_385 (Dolomite),s385_1000 (Dolomite),Dolomite_labels,fe_metal (DRI),fe_total (DRI),md (DRI),c (DRI),gunge (DRI),feo (DRI),feo_c (DRI),Dri_labels,cao (Lime),mgo (Lime),s0_95 (Lime),Lime_labels,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels,Duration (EAF),Power On (EAF),Power Off (EAF),Delays (EAF),DRI [t] (EAF),Ele [MW] (EAF),Tapped [t] (EAF),Tapped [kWh/t] (EAF),O2 [Nm3] (EAF),CH4 [Nm3] (EAF),C.inj [kg] (EAF),Chemical [MWh] (EAF),C [kg] (EAF),CaO [kg] (EAF),MgO [kg] (EAF),Tapping Time [Sec] (EAF),EAF_DRI (EAF),HDRI(T) (EAF)
4024715.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,2.0,64.0,54.0,9.0,4.0,110.2336426,119.4634476,178.2999878,613.2487183,6386.214844,727.3358765,2445.99585,19133.85938,2003.200073,9071.319336,10926.00391,295.0,110233.6406,108.1999969
4024716.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,2.0,61.0,53.0,8.0,3.0,98.84584808,118.8751831,180.2000122,582.9046631,6102.349609,803.6337891,1778.666626,18565.78906,2000.400024,9211.115234,10322.71484,303.0,98845.85156,115.6999969
4024717.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,2.0,68.0,55.0,12.0,7.0,92.51560974,114.8117371,191.0999908,560.2404785,5859.226563,676.0545044,2026.543213,17577.66016,2005.899902,9291.414063,10616.60254,303.0,92515.60938,125.0999985
4024718.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,2.0,69.0,60.0,9.0,4.0,92.15122986,115.3529434,177.7000122,649.6852417,6370.887207,738.2214966,2491.666016,19120.76953,2004.300049,10451.30957,11691.4668,292.0,92151.22656,145.1999969
4024721.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,2.0,63.0,55.0,8.0,3.0,91.68202972,117.4194489,173.7108002,624.5007324,6455.030273,742.4506226,2162.0,19358.94922,2003.0,11406.92188,11330.69434,294.0,91682.03125,131.8999939
4024722.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,2.0,62.0,54.0,8.0,3.0,77.6395874,116.7811432,182.232193,577.4653931,5716.060547,752.0847168,2294.888916,17388.78906,2007.900024,9399.503906,10200.49023,300.0,77639.59375,131.8999939
4024724.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,22.0,37.8,20.5,9.6,4.3,0.784,0.175,1.07,0.89,1.27,2.0,62.0,53.0,9.0,3.0,85.06526947,118.5189667,183.8675385,573.8631592,5635.885254,637.0690918,2155.934326,16873.26953,2003.199829,9791.401367,10172.67676,311.0,85065.27344,129.1000061
4024725.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,33.2,16.0,27.8,12.2,5.1,0.865,0.179,1.19,1.01,1.38,3.0,63.0,54.0,9.0,4.0,100.585228,120.5474701,174.0847778,629.7576904,5307.250977,696.2210083,2018.962158,16139.75,2004.799927,9196.195313,10195.48438,291.0,100585.2344,119.5
4024727.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,33.2,16.0,27.8,12.2,5.1,0.865,0.179,1.19,1.01,1.38,3.0,61.0,53.0,8.0,3.0,89.63500977,119.5736237,176.9219971,603.2006226,6510.203125,747.1820679,2121.974854,19520.23047,2002.5,8888.612305,10162.44824,275.0,89635.01563,129.5998993
4024728.0,83.05,0.9,2.0,0.0,80.45,1.25,3.0,1.0,55.02,33.05,2.0,48.0,0.0,1.0,79.8,86.7,92.03,1.5,9.82,8.88,5.95,1.0,90.73,1.2,2.67,1.0,33.2,16.0,27.8,12.2,5.1,0.865,0.179,1.19,1.01,1.38,3.0,58.0,50.0,7.0,2.0,49.2359581,119.7701721,181.5786133,556.2669678,6260.916016,808.9107056,2182.888916,19007.65039,2005.299805,9231.896484,10119.20313,292.0,49235.96094,170.2998962
