tar,fe_metal (DRI),fe_total (DRI),md (DRI),c (DRI),gunge (DRI),feo (DRI),Dri_labels
14030206,80.8,88.3,91.5,2.0,7.55,9.65,0
14030207,80.8,87.7,92.15,1.8,8.52,8.88,0
14030208,78.0,86.2,90.5,1.8,9.65,10.55,1
14030209,80.63,86.77,92.9,2.0,9.48,7.89,1
14030210,79.76,86.1,92.62,2.06,10.02,8.16,1
14030211,79.67,86.43,92.17,1.83,9.79,8.71,1
14030212,80.6,86.43,93.27,1.9,10.0,7.5,1
14030213,79.75,86.48,92.25,2.0,9.6,8.65,1
14030214,78.7,85.7,91.82,1.95,10.34,9.01,1
14030215,76.3,85.25,89.5,2.15,10.04,11.51,1
14030216,78.45,85.85,91.4,1.85,10.18,9.52,1
14030217,78.43,85.07,92.2,2.1,10.93,8.53,1
14030218,80.32,85.75,93.65,2.08,10.62,6.98,1
14030219,80.22,85.75,93.52,2.0,10.67,7.11,1
14030220,78.62,85.22,92.2,1.9,10.98,8.49,1
14030221,79.6,85.4,93.2,1.88,11.06,7.46,1
14030222,79.5,84.5,94.1,2.6,11.47,6.43,1
14030223,79.93,86.0,92.97,2.1,10.16,7.8,1
14030224,76.85,85.55,89.82,1.9,10.06,11.19,1
14030225,78.11,85.93,90.87,1.91,9.92,10.05,1
14030226,75.83,85.7,88.5,1.73,9.74,12.69,1
14030227,74.1,85.0,87.17,1.9,9.98,14.02,1
14030228,80.17,85.83,93.4,2.07,10.48,7.29,1
14030229,79.08,85.82,92.12,2.08,10.17,8.68,1
14030230,80.25,86.15,93.15,2.2,9.96,7.59,1
14030231,80.63,86.83,92.87,2.03,9.36,7.98,1
14030301,77.8,85.8,90.63,1.8,10.11,10.29,1
14030302,79.33,86.17,92.03,1.97,9.91,8.79,1
14030303,78.1,86.3,90.5,1.75,9.6,10.55,1
14030304,79.03,86.17,91.73,1.93,9.86,9.18,1
14030305,79.9,86.55,92.3,1.75,9.79,8.56,1
14030306,73.43,83.73,87.67,1.6,11.72,13.25,1
14030307,79.37,86.0,92.27,2.03,10.07,8.53,1
14030308,79.35,86.8,91.4,1.75,9.32,9.58,1
14030309,79.0,86.55,91.28,1.9,9.39,9.71,1
14030310,80.45,86.25,93.3,2.25,9.84,7.46,1
14030311,78.4,85.7,91.45,2.0,10.21,9.39,1
14030312,79.7,85.65,93.05,2.25,10.4,7.65,1
14030313,79.7,86.13,92.5,2.03,9.99,8.28,1
14030315,81.0,86.4,93.7,1.8,10.25,6.95,1
14030316,79.6,86.3,92.25,1.75,10.03,8.62,1
14030317,78.45,86.0,91.2,1.9,9.94,9.71,1
14030318,78.0,85.53,91.17,1.73,10.58,9.69,1
14030319,80.37,86.67,92.77,1.77,9.76,8.1,1
14030320,78.65,86.4,91.05,1.7,9.68,9.97,1
14030321,77.8,85.8,90.7,1.4,10.51,10.29,1
14030322,76.5,84.8,90.2,0.0,12.82,10.68,1
