tar,heat_no,cao,feo,sio2,mgo,al2o3,p2o5,mno,b2,b3,b4
970419,971450,33.2,20.4,23.7,16.1,5.4,0.419,0.46,1.4,0,1.7
970420,971455,33.3,24.7,22.2,14,4.6,0.634,0.293,1.5,0,1.77
970420,971460,30.9,33,20.7,10.6,3.7,0.602,0.156,1.49,0,1.69
970420,971465,32.4,27.5,20.2,15,3.4,0.96,0.161,1.6,0,2.01
970421,971470,26.1,33,21.4,15,3.6,0.408,0.2,1.22,0,1.65
970421,971476,34.7,20.8,23.3,15.1,4.1,1.595,0.117,1.49,0,1.82
970421,971480,31.7,28.1,22.8,11.9,4.1,0.86,0.154,1.39,0,1.62
970423,971485,30.3,25,24.1,14.6,4.6,0.611,0.408,1.25,0,1.56
970423,971490,30.6,21.7,21.6,20.3,4,1.121,0.308,1.42,0,1.99
970423,971495,32,23.2,24.4,14,4.8,0.935,0.342,1.31,0,1.58
970423,971500,27.3,30.5,23.4,13.3,4.4,0.229,0.552,1.17,0,1.46
970423,971505,27.2,31.2,21.4,14.8,4.4,0.188,0.476,1.27,0,1.63
970424,971511,25.5,31.1,22.6,15.4,4.5,0.194,0.47,1.13,0,1.51
970424,971515,24.5,33.6,16,21.6,2.9,0.116,1,1.53,0,2.45
970424,971520,27.5,26.3,21.5,19.4,3.6,1.067,0.184,1.28,0,1.87
970425,971525,32,26.4,23.1,13,4.2,0.855,0.171,1.39,0,1.65
970425,971530,32.7,20.6,26.5,13.2,5.2,0.528,1.001,1.24,0,1.45
970425,971535,27.2,39.8,19.3,9.6,3.5,0.068,0.231,1.41,0,1.61
970426,971540,28.4,28.2,22.6,14.8,4.9,0.287,0.58,1.26,0,1.57
970426,971545,24.6,32.5,23.5,14.1,4.1,0.402,0.44,1.04,0,1.4
970426,971550,32,26.3,23.9,12.2,4.3,0.853,0.182,1.34,0,1.57
970427,971555,26.6,31.5,23,13.7,4.3,0.208,0.349,1.16,0,1.48
970427,971560,31.2,30.6,18.9,14.2,4.3,0.17,0.37,1.65,0,1.96
970427,971565,30.3,33.3,19.2,12.5,3.9,0.237,0.208,1.58,0,1.85
970427,971570,30.5,32.8,20.8,10.9,4,0.425,0.269,1.47,0,1.67
970428,971575,30.8,35.3,17.6,12.3,3.4,0.242,0.155,1.75,0,2.06
970428,971582,27.7,37.4,20.4,10.2,3.7,0.217,0.164,1.36,0,1.57
