sample_no,sampling_d,tar,c,s,humidity,ash,s05,s05_335,s335,factory,trailer,time_1,location
Graphite00-509,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-510,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-511,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-512,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-513,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-514,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-515,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-516,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-517,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-518,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-519,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-520,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-521,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-522,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-523,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-524,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-525,,0,0,0,0,0,0,0,0,,,  /  /,
COKE98-14,,100,85,0.7,0,0,5,35,60,,,  /  /,
COKE98-44,,100,84.3,0.6,0,0,1.6,56.7,41.7,,,  /  /,
COKE98-73,,100,72.5,1.2,0,0,1.6,91.7,6.7,,,  /  /,1
COKE98-45,,200,82.8,0.5,0,0,1.7,70,28.3,,,  /  /,
COKE98-74,,200,80.5,0.5,0,0,1.3,66.2,32.5,,,  /  /,1
COKE98-15,,300,81.5,0.6,0,0,6.2,61.3,32.5,,,  /  /,
COKE98-75,,300,84.1,0.5,0,0,1.2,71.3,27.5,,,  /  /,1
COKE98-46,,400,71.1,1.1,0,0,1.8,93.2,5,,,  /  /,
COKE98-76,,400,80.8,0.6,0,0,2.5,70,27.5,,,  /  /,1
COKE98-77,,400,81.7,0.8,0,0,8.7,78.8,12.5,,,  /  /,2
COKE98-78,,400,79.9,1.4,0,0,3.7,91.3,5,,,  /  /,3
COKE98-16,,500,81,0.7,0,0,3.7,61.3,35,,,  /  /,
COKE98-47,,500,81.3,0.5,0,0,2.5,75,22.5,,,  /  /,
COKE98-48,,500,73.1,1.1,0,0,2.5,85,12.5,,,  /  /,
COKE98-79,,500,81.2,0.6,0,0,1.6,71.7,26.7,,,  /  /,1/73A868
COKE98-80,,500,72,1.3,0,0,3.3,91.7,5,,,  /  /,2/33A391
COKE98-49,,600,79.5,0.7,0,0,1.7,63.3,35,,,  /  /,
COKE98-81,,600,74,1.1,0,0,3.3,90,6.7,,,  /  /,33A391
COKE98-82,,600,79.5,1.5,0,0,5,90,5,,,  /  /,42A623
COKE98-17,,800,82.7,0.6,0,0,4.3,48.6,47.1,,,  /  /,
Sample98-14,,800,94.1,0.4,0,0,5,86.7,8.3,,,  /  /,
COKE98-18,,900,82.6,0.5,0,0,6.7,58.3,35,,,  /  /,
COKE98-83,,900,72.2,1.2,0,0,2.5,90,7.5,,,  /  /,
COKE98-19,,1000,83.5,0.5,0,0,3.3,55,41.7,,,  /  /,
COKE98-20,,1000,75.4,0.9,0,0,13.3,66.7,20,,,  /  /,
COKE98-21,,1000,72.5,0.9,0,0,3.4,68.3,28.3,,,  /  /,
COKE98-22,,1000,74.4,0.9,0,0,5,70,25,,,  /  /,
COKE98-23,,1000,66.9,0.9,0,0,5,73.3,21.7,,,  /  /,
COKE98-24,,1000,63.6,1,0,0,20,70,10,,,  /  /,
COKE98-25,,1000,75.5,0.9,0,0,2,74,24,,,  /  /,
