sample_no,tar,cao,mgo,s0_5,s5_335,s335,s0_95,s95_508,s508,factory
LIM98-1060,980728,85.6,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1061,980728,91.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1062,980728,89.4,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1063,980728,91.6,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1066,980729,86.9,2,0,0,0,0,0,0,Hamyaran
LIM98-1067,980729,86.5,1.6,1.4,1.4,3.6,5.7,10,77.9,Hamyaran
LIM98-1071,980730,90.8,1.6,2.2,2.1,3.6,10.7,10,71.4,Hamyaran
LIM98-1072,980730,88.2,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1073,980801,90.2,2.4,2.2,1.4,2.1,2.9,6.4,85,Hamyaran
LIM98-1074,980801,90.9,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1075,980801,93.1,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1082,980804,88.8,2.9,1.5,2.1,3.6,10,11.4,71.4,Hamyaran
LIM98-1083,980804,90.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1084,980804,95.2,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1085,980804,92.4,2,0,0,0,0,0,0,Hamyaran
LIM98-1086,980805,90.7,2,2.1,3.6,2.9,7.9,11.4,72.1,Hamyaran
LIM98-1088,980805,93.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1093,980806,87,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1094,980806,90.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1095,980806,91.2,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1096,980806,90.4,2,0,0,0,0,0,0,Hamyaran
LIM98-1100,980807,88.2,2.8,0,0,0,0,0,0,Hamyaran
LIM98-1101,980807,88.3,2.4,2.9,5.8,6.4,12.1,12.1,60.7,Hamyaran
LIM98-1106,980808,91.3,0.8,5,10,6.4,9.3,7.9,61.4,Hamyaran
LIM98-1107,980808,85.7,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1110,980808,92.8,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1111,980808,94.8,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1112,980809,83.6,1.6,2.1,2.9,8.6,15.7,12.1,58.6,Hamyaran
LIM98-1114,980809,85.4,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1115,980809,89.4,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1116,980809,90.3,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1117,980809,90.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1119,980811,89.1,2,4.3,12.2,12.1,14.3,10.7,46.4,Hamyaran
LIM98-1123,980811,89.4,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1124,980811,88.1,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1127,980812,87.7,1.2,2.8,2.9,9.3,17.9,17.1,50,Hamyaran
LIM98-1128,980812,88.8,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1129,980812,91.4,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1130,980812,90.2,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1133,980813,84.2,1.2,2.9,5.6,10,15,7.9,58.6,Hamyaran
LIM98-1134,980813,79.8,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1135,980813,85.4,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1136,980813,81.4,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1140,980814,88.3,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1141,980814,83.8,1.2,3.5,7.9,9.3,13.6,10.7,55,Hamyaran
LIM98-1142,980814,91.7,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1143,980814,88.9,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1147,980815,83.9,0.8,2.3,0.7,1.4,6.4,7.1,82.1,Hamyaran
LIM98-1148,980815,93.4,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1149,980815,84,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1150,980815,88.3,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1157,980816,86.7,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1158,980816,86.8,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1159,980816,88.7,0.8,1.5,1.4,5,8.6,7.1,76.4,Hamyaran
LIM98-1160,980816,90.2,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1161,980816,91.1,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1163,980818,85,1.2,2.9,0.7,5.7,12.9,10.7,67.1,Hamyaran
LIM98-1165,980820,90.3,1.6,2.9,1.4,4.3,11.4,0,80,Hamyaran
LIM98-1166,980820,90.3,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1167,980820,92.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1168,980820,95.8,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1175,980821,91.2,0.8,5.7,7.1,8.6,17.9,10.7,50,Hamyaran
LIM98-1176,980821,92.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1177,980821,91,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1178,980821,93.2,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1179,980822,93.3,1.6,2.9,2.1,6.4,20,14.3,54.3,Hamyaran
LIM98-1180,980822,91.7,2,0,0,0,0,0,0,Hamyaran
LIM98-1183,980822,89.1,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1184,980822,90.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1185,980823,94.3,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1186,980823,93,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1187,980823,91.5,2,0.8,1.4,5.7,10.7,12.1,69.3,Hamyaran
LIM98-1188,980823,95.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1193,980825,93.9,1.6,2.7,3.6,8.6,12.9,8.6,63.6,Hamyaran
LIM98-1194,980825,93.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1195,980825,92.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1196,980825,92.5,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1197,980825,95.3,0.8,3.6,2.9,6.4,12.1,8.6,66.4,Hamyaran
LIM98-1198,980825,92,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1207,980826,91.4,0.8,3.4,3.6,7.9,17.9,12.9,54.3,Hamyaran
LIM98-1208,980826,94.5,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1218,980828,88.5,1.6,7.1,5,5,5.7,4.3,72.9,Hamyaran
LIM98-1219,980828,91,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1220,980828,92.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1221,980828,93.6,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1225,980829,95.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1226,980829,90,1.6,2.2,0.7,1.4,6.4,9.3,80,Hamyaran
LIM98-1227,980829,90.6,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1228,980829,92.5,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1231,980830,95.8,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1232,980830,96.3,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1233,980830,92,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1234,980830,91.9,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1239,980901,94.4,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1240,980901,90.6,0.8,1.4,0.8,4.3,6.4,10,77.1,Hamyaran
LIM98-1251,980902,95,0.8,1.4,2.1,5,12.9,10,68.6,Hamyaran
LIM98-1253,980902,89.5,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1254,980902,93.5,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1255,980902,89.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1260,980903,93,1.2,2,2.9,7.9,15,7.9,64.3,Hamyaran
LIM98-1261,980903,91.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1262,980903,95.3,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1263,980903,92.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1272,980904,96.2,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1273,980904,94.9,0.8,1.4,2.9,5,12.1,8.6,70,Hamyaran
LIM98-1274,980904,92,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1278,980904,93.7,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1279,980904,94.8,1.2,2.1,0.7,1.4,3.6,4.3,87.9,Hamyaran
LIM98-1281,980905,86.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1282,980905,95.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1288,980906,96.2,0.8,2.9,0.7,1.4,2.9,2.1,90,Hamyaran
LIM98-1289,980906,96.6,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1290,980906,96.8,0.4,0,0,0,0,0,0,Hamyaran
LIM98-1296,980907,93.6,1.6,1.5,0,1.4,11.4,13.6,72.1,Hamyaran
LIM98-1297,980907,93.9,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1298,980907,95,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1299,980907,94.8,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1316,980909,94.4,1.6,1.5,2.1,3.6,5.7,5,82.1,Hamyaran
LIM98-1317,980909,96.6,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1318,980909,96.1,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1322,980910,95.5,0.8,2.1,3.6,7.9,12.1,7.9,66.4,Hamyaran
LIM98-1323,980910,95,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1324,980910,96.2,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1325,980910,94.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1329,980911,91.1,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1332,980911,95.3,0.8,4.3,5.7,9.3,14.3,30,36.4,Hamyaran
LIM98-1333,980911,93.5,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1334,980911,94.5,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1337,980912,92.3,1.2,1.4,2.9,4.3,12.1,5.7,73.6,Hamyaran
LIM98-1338,980912,95.5,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1339,980912,86,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1340,980912,96,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1344,980913,96.2,0.8,1.5,0,0.7,5.7,11.4,80.7,Hamyaran
LIM98-1345,980913,92.1,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1350,980914,96.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1351,980914,96.5,0.8,5.7,5.7,5,7.9,5.7,70,Hamyaran
LIM98-1352,980914,94.9,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1353,980914,92.8,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1361,980915,95.5,0.4,3.6,0.7,2.9,11.4,12.1,69.3,Hamyaran
LIM98-1362,980915,95.4,0.4,0,0,0,0,0,0,Hamyaran
LIM98-1367,980916,90.8,0.4,2.9,2.1,3.6,10.7,10,70.7,Hamyaran
LIM98-1368,980916,91.1,0.4,0,0,0,0,0,0,Hamyaran
LIM98-1369,980916,94,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1370,980916,88.2,0.4,0,0,0,0,0,0,Hamyaran
LIM98-1380,980917,92,0.8,1.5,0.7,1.4,6.4,10,80,Hamyaran
LIM98-1402,980920,95.9,0.8,4.3,3.6,5.7,10,6.4,70,Hamyaran
LIM98-1403,980920,94.5,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1408,980921,96.5,1.2,2.1,0,0,3.6,5,89.3,Hamyaran
LIM98-1409,980921,94,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1410,980921,95.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1413,980921,95.4,1.2,2.3,1.4,6.4,12.1,6.4,71.4,Hamyaran
LIM98-1424,980922,93.6,0.8,2.1,1.4,2.6,6.2,5,82.7,Hamyaran
LIM98-1425,980922,93.3,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1428,980923,93.6,2,2.9,1.4,3.6,9.3,5.7,77.1,Hamyaran
LIM98-1429,980923,95.1,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1433,980924,94.4,0.8,2.1,0.7,5,7.1,9.3,75.8,Hamyaran
LIM98-1434,980924,89.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1435,980924,94.6,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1437,980925,95.5,0.8,2.9,3.6,6.4,12.1,7.9,67.1,Hamyaran
LIM98-1438,980925,96.3,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1439,980925,92.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1448,980926,96.4,0.8,1.5,0.7,1.4,11.4,9.3,75.7,Hamyaran
LIM98-1449,980926,93.5,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1453,980926,92,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1454,980926,93.8,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1463,980927,82.7,1.2,2.8,4.3,15.7,25,9.3,42.9,Hamyaran
LIM98-1464,980927,93.7,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1468,980928,91.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1469,980928,91.5,1.2,5,5,6.4,16.4,7.9,59.3,Hamyaran
LIM98-1470,980928,91.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1471,980928,91.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1479,980929,88.2,1.6,5.7,10,11.4,15,10,47.9,Hamyaran
LIM98-1480,980929,87.6,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1483,980930,91.7,1.2,3.6,3.6,6.4,9.3,5,72.1,Hamyaran
LIM98-1484,980930,91,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1485,980930,88.3,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1486,980930,94.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1492,981001,95.8,0.8,1.5,2.1,5,12.1,10,69.3,Hamyaran
LIM98-1493,981001,96.5,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1497,981002,94.4,0.8,0,5,9.3,12.9,10.7,62.1,Hamyaran
LIM98-1499,981003,94,1.6,0.7,2.9,5.7,9.3,5,76.4,Hamyaran
LIM98-1500,981003,94.6,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1503,981004,96.3,0.8,1.5,1.4,5.7,10.7,10,70.7,Hamyaran
LIM98-1504,981004,94.9,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1505,981004,93.5,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1510,981005,95.9,1.2,2.9,4.3,7.1,10.7,7.1,67.9,Hamyaran
LIM98-1511,981005,96.7,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1516,981005,96.9,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1517,981005,96,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1521,981006,87.1,0.8,1.4,3.6,5,11.4,12.9,65.7,Hamyaran
LIM98-1524,981008,94.2,0.8,5,11.4,19.3,18.6,8.6,37.1,Hamyaran
LIM98-1525,981008,95.3,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1528,981009,85.2,2,2.9,4.3,12.9,21.4,11.4,47.1,Hamyaran
LIM98-1529,981009,79.7,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1531,981009,84.3,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1532,981009,95,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1533,981009,92,0.8,2.2,0.7,5.7,19.3,17.1,55,Hamyaran
LIM98-1534,981010,93.6,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1535,981010,94.6,1.2,2.1,0.7,4.3,14.3,12.9,65.7,Hamyaran
LIM98-1536,981010,87.4,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1539,981010,86.8,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1540,981011,92.4,1.2,4.3,6.4,10.7,14.3,9.3,55,Hamyaran
LIM98-1544,981011,91.5,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1550,981012,95.7,0.8,2.9,2.1,5.7,14.3,9.3,65.7,Hamyaran
LIM98-1551,981012,95.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1557,981013,94.5,0.8,0.7,0.7,0.7,12.9,16.4,68.6,Hamyaran
LIM98-1558,981013,92.8,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1559,981013,90.9,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1564,981014,93.3,1.6,5.7,14.3,15.7,17.1,7.9,39.3,Hamyaran
LIM98-1565,981014,91.7,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1566,981014,92.8,2,0,0,0,0,0,0,Hamyaran
LIM98-1567,981014,92.5,2,0,0,0,0,0,0,Hamyaran
LIM98-1568,981015,88.9,0.8,2.9,8.6,15,20,12.1,41.4,Hamyaran
LIM98-1569,981015,93.4,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1570,981015,94.3,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1574,981016,91.4,1.2,3.6,4.3,10,18.6,12.1,51.4,Hamyaran
LIM98-1575,981016,95.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1576,981016,95.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1580,981017,96.7,0.8,1.5,2.1,7.1,12.1,8.6,68.6,Hamyaran
LIM98-1581,981017,95,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1582,981017,94.6,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1591,981018,96,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1592,981018,95.5,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1593,981018,90.9,0.8,5,4.3,9.3,14.3,6.4,60.7,Hamyaran
LIM98-1594,981018,93.5,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1596,981019,93.5,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1597,981019,89.9,2,0,0,0,0,0,0,Hamyaran
LIM98-1598,981019,90.2,2.4,3.6,14.3,18.6,23.5,15.7,24.3,Hamyaran
LIM98-1599,981019,94,0.8,2.1,0.7,7.9,12.9,9.3,67.1,Hamyaran
LIM98-1600,981019,94,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1605,981020,94.3,0.8,3.6,3.6,6.4,9.3,7.1,70,Hamyaran
LIM98-1611,981021,94.6,0.8,0.8,1.4,5,17.1,15,60.7,Hamyaran
LIM98-1613,981022,93.6,1.6,2.9,1.5,6.4,11.4,5.7,72.1,Hamyaran
LIM98-1617,981023,92.2,1.6,2.9,3.6,7.9,12.9,10.6,62.1,Hamyaran
LIM98-1618,981023,86.8,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1619,981023,92,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1628,981024,93.9,1.2,4.4,2.1,5.7,9.3,7.1,71.4,Hamyaran
LIM98-1629,981024,82.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1631,981025,92.4,0.8,5.7,4.3,5.7,8.6,5.7,70,Hamyaran
LIM98-1632,981025,92.2,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1637,981026,93.9,0.8,0.7,2.7,7.9,17.9,12.9,57.9,Hamyaran
LIM98-1638,981026,94.9,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1642,981027,95.1,1.2,3.6,3.6,10,19.3,6.4,57.1,Hamyaran
LIM98-1643,981027,94.2,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1644,981027,93.8,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1647,981028,74.2,0.8,1.5,2.1,5,10,5.7,75.7,Hamyaran
LIM98-1648,981028,76.3,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1649,981028,79.4,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1653,981029,94.2,1.2,0.7,0.8,2.1,5.7,4.3,86.4,Hamyaran
LIM98-1654,981029,93.5,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1657,981030,92.2,1.2,5,7.8,12.9,22.1,8.6,43.6,Hamyaran
LIM98-1658,981030,95.5,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1659,981101,95.3,1.2,2.8,10,9.3,9.3,2.9,65.7,Hamyaran
LIM98-1660,981101,90.8,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1661,981101,92.3,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1662,981101,92.8,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1668,981102,92.9,2,3.6,2.1,13.6,27.1,12.9,40.7,Hamyaran
LIM98-1669,981102,93.4,2,0,0,0,0,0,0,Hamyaran
LIM98-1670,981103,94.1,1.2,3.6,2.1,5.7,15.7,14.3,58.6,Hamyaran
LIM98-1671,981103,94,0.8,3.6,7.1,13.5,18.6,9.3,47.9,Hamyaran
LIM98-1672,981103,92.8,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1681,981105,94.8,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1684,981105,94.8,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1685,981105,95.6,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1690,981106,91.8,2.4,2.8,3.6,3.6,10.7,8.6,70.7,Hamyaran
LIM98-1691,981106,91.8,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1695,981106,91.1,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1696,981106,95.9,0.4,0,0,0,0,0,0,Hamyaran
LIM98-1697,981107,95.9,0.8,2.1,2.9,3.6,5.7,3.6,82.1,Hamyaran
LIM98-1698,981107,95.8,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1702,981107,93.8,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1704,981108,95.4,0.8,2.1,1.4,3.6,7.9,5,80,Hamyaran
LIM98-1705,981108,95.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1706,981108,95.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1712,981109,94,1.2,1.4,3.6,5.7,12.9,12.1,64.3,Hamyaran
LIM98-1713,981109,92.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1714,981109,91.9,2,0,0,0,0,0,0,Hamyaran
LIM98-1721,981110,94.7,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1722,981110,93.9,1.2,2.1,0,2.1,8.6,8.6,78.6,Hamyaran
LIM98-1724,981111,95.8,2.8,1.4,0.7,5,13.6,13.6,65.7,Hamyaran
LIM98-1725,981111,95.7,2,0,0,0,0,0,0,Hamyaran
LIM98-1726,981111,95.7,2.8,0,0,0,0,0,0,Hamyaran
LIM98-1727,981111,95.3,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1733,981112,93.3,2.8,0,0,0,0,0,0,Hamyaran
LIM98-1734,981112,93.5,2.4,1.4,0.7,4.3,12.9,11.4,69.3,Hamyaran
LIM98-1735,981112,93.8,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1741,981113,92.2,1.2,2.8,1.4,2.9,13.6,15,64.3,Hamyaran
LIM98-1742,981113,95,2,0,0,0,0,0,0,Hamyaran
LIM98-1743,981113,95.2,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1751,981114,94.9,1.2,0.8,1.4,2.9,7.1,5.7,82.1,Hamyaran
LIM98-1752,981114,94.6,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1753,981114,91.7,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1760,981115,91.3,1.6,4.3,5.7,8.6,10.7,6.4,64.3,Hamyaran
LIM98-1761,981115,93,2,0,0,0,0,0,0,Hamyaran
LIM98-1762,981115,92.5,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1765,981116,94.6,1.2,2.1,0.7,1.4,7.9,5,82.9,Hamyaran
LIM98-1766,981116,94.9,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1767,981116,94.6,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1772,981117,94.1,4,0,0,0,0,0,0,Hamyaran
LIM98-1773,981117,93,4,0.8,0.7,2.1,5,7.1,84.3,Hamyaran
LIM98-1775,981117,95.4,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1776,981117,94.2,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1782,981118,92.6,1.2,2.9,5,7.1,11.4,10.7,62.9,Hamyaran
LIM98-1783,981118,93.7,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1792,981119,94.1,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1793,981119,94.3,1.2,1.5,2.1,4.3,7.1,10,75,Hamyaran
LIM98-1794,981119,94.3,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1797,981120,92.6,4.8,2.9,3.6,6.4,10,10,67.1,Hamyaran
LIM98-1798,981120,90.5,2.8,0,0,0,0,0,0,Hamyaran
LIM98-1799,981120,90.6,0.8,0,0,0,0,0,0,Hamyaran
LIM98-1800,981120,91.6,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1805,981121,94.8,2,0.7,0.7,2.9,6.4,7.9,81.4,Hamyaran
LIM98-1806,981121,94,2.8,0,0,0,0,0,0,Hamyaran
LIM98-1807,981121,95.2,2,0,0,0,0,0,0,Hamyaran
LIM98-1814,981123,94.8,2.4,1.5,1.4,2.1,4.3,5,85.7,Hamyaran
LIM98-1815,981123,93.7,2.8,0,0,0,0,0,0,Hamyaran
LIM98-1816,981123,91.4,4.1,0,0,0,0,0,0,Hamyaran
LIM98-1819,981124,93,2.4,1.4,2.1,2.9,5,5.7,82.9,Hamyaran
LIM98-1820,981124,94.7,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1824,981125,93.7,2.4,2.1,1.5,7.9,15.7,12.1,60.7,Hamyaran
LIM98-1825,981125,91.5,2,0,0,0,0,0,0,Hamyaran
LIM98-1826,981125,89,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1831,981126,87,2,2.9,0,2.1,8.6,9.3,77.1,Hamyaran
LIM98-1832,981126,95.3,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1833,981126,86.9,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1836,981126,90.5,1.2,0,0,0,0,0,0,Hamyaran
LIM98-1837,981127,92.3,1.2,3.5,2.9,7.9,13.6,12.1,60,Hamyaran
LIM98-1838,981127,93.8,3.2,0,0,0,0,0,0,Hamyaran
LIM98-1839,981127,93.5,2.8,0,0,0,0,0,0,Hamyaran
LIM98-1843,981128,94.9,2.4,2.8,2.9,7.1,10,9.3,67.9,Hamyaran
LIM98-1844,981128,95.3,3.2,0,0,0,0,0,0,Hamyaran
LIM98-1845,981128,96.2,2.8,0,0,0,0,0,0,Hamyaran
LIM98-1854,981129,92.9,3.2,3.6,4.3,5.7,9.3,6.4,70.7,Hamyaran
LIM98-1855,981129,88.9,3.2,0,0,0,0,0,0,Hamyaran
LIM98-1856,981129,93.5,2.4,0,0,0,0,0,0,Hamyaran
LIM98-1857,981129,95.8,0.8,2.9,1.4,5.7,7.9,6.4,75.7,Hamyaran
LIM98-1871,981130,94.6,1.6,3.6,1.4,5,9.3,7.1,73.6,Hamyaran
LIM98-1872,981130,94.4,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1873,981130,92,1.6,0,0,0,0,0,0,Hamyaran
LIM98-1882,981201,92.9,1.6,0,0,0,0,0,0,Hamyaran
