sample_no,tar,cao,mgo,s0_95,s95_385,s385_1000,factory
DOL99-1209-ARD,990913,44.7,28.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1210-ARD,990913,44.7,28.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1211-ARD,990915,44.3,28.6,25,70.7,4.3,Zareh Shahi (Ardakan)
DOL99-1212-ARD,990915,45.2,29.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1213-ARD,990915,45.9,29.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1214-ARD,990915,44.7,28.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1215-ARD,990917,45.2,27.6,8.6,85,6.4,Zareh Shahi (Ardakan)
DOL99-1216-ARD,990917,43.7,27.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1217-ARD,990917,45.2,26.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1218-ARD,990917,45.2,26.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1219-ARD,990917,44.9,27.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1223-ARD,990918,45.3,27.7,2.1,96.5,1.4,Zareh Shahi (Ardakan)
DOL99-1224-ARD,990918,44.2,28.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1225-ARD,990919,48.3,31.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1226-ARD,990919,44.8,27.3,7.1,90,2.9,Zareh Shahi (Ardakan)
DOL99-1227-ARD,990919,45.2,27.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1228-ARD,990919,46.1,27.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1229-ARD,990920,49.8,34.2,9.3,85,5.7,Zareh Shahi (Ardakan)
DOL99-1230-ARD,990920,48.7,33,0,0,0,Zareh Shahi (Ardakan)
DOL99-1153-TAB,990829,61.2,34.2,45,55,0,Tabas
DOL99-1154-TAB,990829,63.1,33.6,0,0,0,Tabas
DOL99-1155-TAB,990830,62.5,32.6,49.3,50.7,0,Tabas
DOL99-1157-TAB,990901,62.1,33.3,22.9,75.7,1.4,Tabas
DOL99-1163-TAB,990902,61.7,33.8,25.7,70.7,3.6,Tabas
DOL99-1164-TAB,990902,60.6,34.6,0,0,0,Tabas
DOL99-1165-TAB,990902,63.8,33,0,0,0,Tabas
DOL99-1166-TAB,990903,60.1,35,15.7,82.9,1.4,Tabas
DOL99-1167-TAB,990903,61.2,35,0,0,0,Tabas
DOL99-1171-TAB,990903,62.9,33.1,0,0,0,Tabas
DOL99-1175-TAB,990904,62.3,32.2,15.7,80,4.3,Tabas
DOL99-1176-TAB,990905,63.8,33,29.3,60,10.7,Tabas
DOL99-1181-TAB,990907,60,27.7,22.1,75.7,2.2,Tabas
DOL99-1197-TAB,990911,64.5,33.3,39.3,55.7,5,Tabas
DOL99-1201-TAB,990912,60.1,35.4,20.7,77.2,2.1,Tabas
DOL99-1202-TAB,990912,60,35.4,0,0,0,Tabas
DOL99-1203-TAB,990912,59.7,34.7,0,0,0,Tabas
DOL99-1208-TAB,990913,60,34.1,22.9,65.7,11.4,Tabas
DOL99-1220-TAB,990917,61.4,32.3,18.6,75.7,5.7,Tabas
DOL99-1221-TAB,990917,62.7,34.2,0,0,0,Tabas
DOL99-1222-TAB,990918,60.2,34.7,43.6,54.3,2.1,Tabas
DOL99-1231-ARD,990920,46.4,33.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1232-ARD,990920,45.2,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1233-ARD,990922,47.5,31.7,2.9,91.4,5.7,Zareh Shahi (Ardakan)
DOL99-1234-ARD,990922,47.5,34.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1235-ARD,990922,45.9,32.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1236-ARD,990923,47.2,31.9,3.6,92.1,4.3,Zareh Shahi (Ardakan)
DOL99-1237-ARD,990923,49.9,32.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1238-ARD,990923,48.2,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1239-ARD,990923,47.2,31.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1240-ARD,990923,48.6,33.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1241-ARD,990923,48,32,0,0,0,Zareh Shahi (Ardakan)
DOL99-1242-ARD,990924,47.8,33.2,8.6,89.3,2.1,Zareh Shahi (Ardakan)
DOL99-1243-ARD,990924,47.5,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1244-ARD,990924,46.5,33,0,0,0,Zareh Shahi (Ardakan)
DOL99-1245-ARD,990925,44,29.2,7.1,86.4,6.5,Zareh Shahi (Ardakan)
DOL99-1246-ARD,990925,44,28.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1247-ARD,990925,44.2,28.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1248-ARD,990925,44.7,28.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1254-ARD,990926,46.4,32.1,15,81.4,3.6,Zareh Shahi (Ardakan)
DOL99-1255-ARD,990926,45.4,32.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1256-ARD,990926,44.7,29.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1257-ARD,990926,44.6,29.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1259-ARD,990927,45.2,32.9,5,90,5,Zareh Shahi (Ardakan)
DOL99-1260-ARD,990927,44.8,29.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1261-ARD,990927,45.2,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1262-ARD,990927,46.2,32.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1263-ARD,990927,44.8,28.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1277-ARD,990929,44.1,29.3,10,85,5,Zareh Shahi (Ardakan)
DOL99-1278-ARD,990929,44.2,29.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1279-ARD,990929,45.9,29.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1280-ARD,990929,44.8,29.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1283-ARD,990930,45,27.9,10.7,82.1,7.2,Zareh Shahi (Ardakan)
DOL99-1284-ARD,990930,45.3,29.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1287-ARD,991001,44.2,28.5,11.4,84.3,4.3,Zareh Shahi (Ardakan)
DOL99-1288-ARD,991001,44.6,29.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1289-ARD,991001,45,29.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1290-ARD,991001,44,29.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1294-ARD,991002,46.6,32.7,4.3,94.3,1.4,Zareh Shahi (Ardakan)
DOL99-1295-ARD,991002,47.3,33.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1296-ARD,991002,47.8,33.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1300-ARD,991003,49.8,33.4,0.7,95.7,3.6,Zareh Shahi (Ardakan)
DOL99-1301-ARD,991003,49.3,33,0,0,0,Zareh Shahi (Ardakan)
DOL99-1302-ARD,991003,49.9,33.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1303-ARD,991003,49.2,32.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1249-TAB,990925,67.2,27.2,32.1,64.3,3.6,Tabas
DOL99-1250-TAB,990925,60.5,33,0,0,0,Tabas
DOL99-1251-TAB,990925,61.8,32.3,0,0,0,Tabas
DOL99-1252-TAB,990925,61.1,33.5,0,0,0,Tabas
DOL99-1253-TAB,990926,60.4,32.9,28.6,62.8,8.6,Tabas
DOL99-1258-TAB,990926,59.9,30.9,0,0,0,Tabas
DOL99-1264-TAB,990927,60.3,32.4,23.6,72.9,3.6,Tabas
DOL99-1265-TAB,990927,61.8,32.2,0,0,0,Tabas
DOL99-1266-TAB,990927,61.1,31.7,0,0,0,Tabas
DOL99-1267-TAB,990928,61.3,32.6,32.9,65.7,1.4,Tabas
DOL99-1268-TAB,990928,60.1,33.4,0,0,0,Tabas
DOL99-1269-TAB,990928,59.8,30,0,0,0,Tabas
DOL99-1270-TAB,990928,62.9,31.5,0,0,0,Tabas
DOL99-1271-TAB,990928,59.6,31.5,0,0,0,Tabas
DOL99-1272-TAB,990928,62.7,31,0,0,0,Tabas
DOL99-1273-TAB,990929,56.7,33,32.9,65,2.1,Tabas
DOL99-1274-TAB,990929,56.8,33.5,0,0,0,Tabas
DOL99-1275-TAB,990929,57.8,32.2,0,0,0,Tabas
DOL99-1276-TAB,990929,54.5,31,0,0,0,Tabas
DOL99-1281-TAB,990930,57.7,31.7,32.1,65.7,2.2,Tabas
DOL99-1282-TAB,990930,60.7,31.5,0,0,0,Tabas
DOL99-1285-TAB,990930,61.2,32.2,0,0,0,Tabas
DOL99-1286-TAB,990930,61.4,31.3,0,0,0,Tabas
DOL99-1291-TAB,991002,60.6,34.6,43.6,56.4,0,Tabas
DOL99-1292-TAB,991002,60,34.2,0,0,0,Tabas
DOL99-1293-TAB,991002,61,34.9,0,0,0,Tabas
DOL99-1297-TAB,991002,61.9,31.5,0,0,0,Tabas
DOL99-1298-TAB,991002,57.5,34.9,0,0,0,Tabas
DOL99-1299-TAB,991003,63.5,31.8,60.7,39.3,0,Tabas
DOL99-1304-TAB,991003,61.6,33.3,0,0,0,Tabas
DOL99-1305-TAB,991003,61.2,31.8,0,0,0,Tabas
DOL99-1306-TAB,991003,61.7,33.9,0,0,0,Tabas
DOL99-1307-TAB,991004,64.6,31.6,74.3,25.7,0,Tabas
DOL99-1308-ARD,991004,48.5,32.4,5.7,92.1,2.2,Zareh Shahi (Ardakan)
DOL99-1309-ARD,991004,47.4,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1310-ARD,991004,49.6,32.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1311-ARD,991004,47.3,32.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1312-ARD,991004,48.5,32.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1321-ARD,991006,47.3,32,14.3,84.3,1.4,Zareh Shahi (Ardakan)
DOL99-1322-ARD,991006,46.9,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1323-ARD,991006,48.3,32.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1324-ARD,991006,48,32.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1329-ARD,991007,52.7,33.8,2.9,93.6,3.5,Zareh Shahi (Ardakan)
DOL99-1330-ARD,991007,50.2,34.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1331-ARD,991007,48.5,32.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1332-ARD,991007,49,32.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1336-ARD,991008,47.4,33.3,12.9,85.7,1.4,Zareh Shahi (Ardakan)
DOL99-1337-ARD,991008,48.5,33.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1338-ARD,991008,48,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1339-ARD,991008,48.4,32.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1340-ARD,991008,48,33.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1344-ARD,991009,49.9,31.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1345-ARD,991009,49,32,3.6,93.5,2.9,Zareh Shahi (Ardakan)
DOL99-1346-ARD,991009,47.4,33.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1347-ARD,991009,48.3,32.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1348-ARD,991010,48.4,33.1,15,84.3,0.7,Zareh Shahi (Ardakan)
DOL99-1349-ARD,991010,48.3,33.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1350-ARD,991010,47.8,33.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1351-ARD,991010,47.4,33.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1352-ARD,991011,48.1,30.6,9.3,85,5.7,Zareh Shahi (Ardakan)
DOL99-1353-ARD,991011,45.3,29.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1354-ARD,991011,45.1,28.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1355-ARD,991011,44.5,30,0,0,0,Zareh Shahi (Ardakan)
DOL99-1357-ARD,991013,48.5,32.4,7.9,90.7,1.4,Zareh Shahi (Ardakan)
DOL99-1358-ARD,991013,47.5,32.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1359-ARD,991013,48.1,32.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1360-ARD,991013,48.6,32.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1361-ARD,991014,46.7,31.9,10,87.1,2.9,Zareh Shahi (Ardakan)
DOL99-1362-ARD,991014,47.4,32.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1363-ARD,991014,46.2,31.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1364-ARD,991014,48.2,32.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1365-ARD,991015,46.1,30.3,2.1,95.7,2.2,Zareh Shahi (Ardakan)
DOL99-1366-ARD,991015,46.3,30.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1367-ARD,991016,47.2,30.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1368-ARD,991016,45,28.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1369-ARD,991016,51.7,31.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1370-ARD,991016,50.3,32.2,1.4,95,3.6,Zareh Shahi (Ardakan)
DOL99-1371-ARD,991016,48.5,32.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1372-ARD,991016,49,32.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1374-ARD,991017,48.4,32.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1375-ARD,991017,47.9,32.8,7.2,90.7,2.1,Zareh Shahi (Ardakan)
DOL99-1376-ARD,991017,48.8,32.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1377-ARD,991017,48,33.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1378-ARD,991018,49.5,33.2,3.6,95,1.4,Zareh Shahi (Ardakan)
DOL99-1379-ARD,991018,48.6,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1380-ARD,991018,47.4,32,0,0,0,Zareh Shahi (Ardakan)
DOL99-1382-ARD,991020,48.6,32.9,2.2,95.7,2.1,Zareh Shahi (Ardakan)
DOL99-1383-ARD,991020,47.6,31.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1384-ARD,991020,48.1,32.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1385-ARD,991021,46.3,32.4,5,92.1,2.9,Zareh Shahi (Ardakan)
DOL99-1386-ARD,991021,47.3,32,0,0,0,Zareh Shahi (Ardakan)
DOL99-1387-ARD,991021,47.6,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1388-ARD,991022,47.5,32.9,5,94.3,0.7,Zareh Shahi (Ardakan)
DOL99-1389-ARD,991022,47.5,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1390-ARD,991022,46.3,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1391-ARD,991022,48.1,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1393-ARD,991023,44.2,30.1,8.6,88.5,2.9,Zareh Shahi (Ardakan)
DOL99-1394-ARD,991023,45.4,30.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1395-ARD,991023,45.9,31.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1396-ARD,991023,45.8,30.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1397-ARD,991024,47,32.2,8.6,86.4,5,Zareh Shahi (Ardakan)
DOL99-1398-ARD,991024,46.4,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1399-ARD,991024,46.3,32.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1400-ARD,991024,45.8,32.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1401-ARD,991025,46.3,31.7,7.9,89.2,2.9,Zareh Shahi (Ardakan)
DOL99-1402-ARD,991025,46.5,31.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1403-ARD,991025,50.5,31.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1404-ARD,991025,47.5,34.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1405-ARD,991025,46.3,31.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1406-ARD,991027,45.9,30.6,9.3,84.3,6.4,Zareh Shahi (Ardakan)
DOL99-1407-ARD,991027,44.8,30.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1408-ARD,991027,44.8,30.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1409-ARD,991027,45.4,30.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1410-ARD,991028,50.8,32.1,4.3,92.1,3.6,Zareh Shahi (Ardakan)
DOL99-1411-ARD,991028,52.9,34.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1413-ARD,991029,49.4,33.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1414-ARD,991029,50.7,34.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1415-ARD,991029,51.6,33.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1416-ARD,991029,48.4,33.1,1.4,95.7,2.9,Zareh Shahi (Ardakan)
DOL99-1417-ARD,991030,50.9,31.7,4.3,91.4,4.3,Zareh Shahi (Ardakan)
DOL99-1422-ARD,991030,47.7,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1423-ARD,991030,47.6,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1424-ARD,991030,48.1,33,0,0,0,Zareh Shahi (Ardakan)
DOL99-1427-ARD,991101,48.7,33.8,1.4,96.4,2.2,Zareh Shahi (Ardakan)
DOL99-1428-ARD,991101,47.1,33.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1429-ARD,991101,47.5,32.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1430-ARD,991101,49.2,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1431-ARD,991101,44,27.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1434-ARD,991102,52,30.4,5,94.3,0.7,Zareh Shahi (Ardakan)
DOL99-1435-ARD,991102,50.8,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1436-ARD,991102,48.6,33.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1437-ARD,991102,49.9,31.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1438-ARD,991102,49.1,32.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1441-ARD,991103,50,32.3,5,93.6,1.4,Zareh Shahi (Ardakan)
DOL99-1443-ARD,991104,47,30.1,7.2,86.4,6.4,Zareh Shahi (Ardakan)
DOL99-1444-ARD,991104,45.7,30.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1445-ARD,991104,45.8,31.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1447-ARD,991104,46.3,30.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1448-ARD,991105,49.7,34.1,10.7,83.6,5.7,Zareh Shahi (Ardakan)
DOL99-1449-ARD,991105,46.9,31.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1450-ARD,991105,53,34.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1456-ARD,991106,46.4,32.6,5.7,90.7,3.6,Zareh Shahi (Ardakan)
DOL99-1457-ARD,991106,48.6,34.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1458-ARD,991106,47.7,34.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1460-ARD,991107,49.8,32.6,2.1,93.6,4.3,Zareh Shahi (Ardakan)
DOL99-1461-ARD,991107,48.8,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1462-ARD,991107,48.7,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1466-ARD,991108,48.7,33.4,2.9,96.4,0.7,Zareh Shahi (Ardakan)
DOL99-1467-ARD,991108,48.8,33.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1468-ARD,991108,47.5,33,0,0,0,Zareh Shahi (Ardakan)
DOL99-1472-ARD,991109,47,33,1.4,96.4,2.2,Zareh Shahi (Ardakan)
DOL99-1473-ARD,991109,43.1,27.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1474-ARD,991109,45.2,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1475-ARD,991109,44.3,31,0,0,0,Zareh Shahi (Ardakan)
DOL99-1477-ARD,991110,45.3,32.2,3.6,94.3,2.1,Zareh Shahi (Ardakan)
DOL99-1478-ARD,991110,44.8,33,0,0,0,Zareh Shahi (Ardakan)
DOL99-1479-ARD,991110,46.3,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1481-ARD,991111,46.6,32.7,5.7,87.9,6.4,Zareh Shahi (Ardakan)
DOL99-1482-ARD,991111,45.4,31.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1483-ARD,991111,45.4,31.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-1484-ARD,991112,43.8,31.4,12.9,80,7.1,Zareh Shahi (Ardakan)
DOL99-1485-ARD,991112,43.6,30.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1486-ARD,991112,44.2,31.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1487-ARD,991112,44.8,31.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1488-ARD,991113,46.6,31,7.9,87.1,5,Zareh Shahi (Ardakan)
DOL99-1489-ARD,991113,45.3,30.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1490-ARD,991113,46.5,31.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-1491-ARD,991113,45.4,31,0,0,0,Zareh Shahi (Ardakan)
DOL99-1495-ARD,991114,47.2,33.1,6.4,90.7,2.9,Zareh Shahi (Ardakan)
DOL99-1496-ARD,991114,48.6,33.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-1497-ARD,991114,47.2,30.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1498-ARD,991115,45.9,32.2,5,90.7,4.3,Zareh Shahi (Ardakan)
DOL99-1499-ARD,991115,45.4,32.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-1500-ARD,991115,46.4,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1501-ARD,991116,52.1,34.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1502-ARD,991116,50.3,33.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1313-TAB,991004,61.7,31.8,0,0,0,Tabas
DOL99-1314-TAB,991005,60.5,31.3,46.4,53.6,0,Tabas
DOL99-1315-TAB,991005,61.7,31.4,0,0,0,Tabas
DOL99-1316-TAB,991005,60.5,31.8,0,0,0,Tabas
DOL99-1317-TAB,991005,60.8,32.4,0,0,0,Tabas
DOL99-1318-TAB,991005,59.7,31.6,0,0,0,Tabas
DOL99-1319-TAB,991005,60.9,31.6,0,0,0,Tabas
DOL99-1320-TAB,991005,65.3,31.9,0,0,0,Tabas
DOL99-1325-TAB,991007,59.8,33.2,58.5,38.6,2.9,Tabas
DOL99-1326-TAB,991007,61.1,33,0,0,0,Tabas
DOL99-1327-TAB,991007,61,33.3,0,0,0,Tabas
DOL99-1328-TAB,991007,60.5,33.7,0,0,0,Tabas
DOL99-1333-TAB,991007,60.4,32.9,0,0,0,Tabas
DOL99-1334-TAB,991007,59.7,33.2,0,0,0,Tabas
DOL99-1335-TAB,991008,60.3,32.4,62.1,37.9,0,Tabas
DOL99-1341-TAB,991008,59.7,35.2,0,0,0,Tabas
DOL99-1342-TAB,991009,59.1,35.2,66.4,33.6,0,Tabas
DOL99-1343-TAB,991009,60.5,34.1,0,0,0,Tabas
DOL99-1356-TAB,991011,59.2,34.9,57.9,42.1,0,Tabas
DOL99-1373-TAB,991017,60.6,34.3,32.2,66.4,1.4,Tabas
DOL99-1381-TAB,991019,63,30.7,55.7,44.3,0,Tabas
DOL99-1392-TAB,991022,62.1,33.7,50.7,49.3,0,Tabas
DOL99-1412-TAB,991029,58.9,34.2,59.3,40.7,0,Tabas
DOL99-1418-TAB,991030,59.8,34.9,30,70,0,Tabas
DOL99-1419-TAB,991030,58.9,35.8,0,0,0,Tabas
DOL99-1420-TAB,991030,59.3,34.9,0,0,0,Tabas
DOL99-1421-TAB,991030,60.6,34.6,0,0,0,Tabas
DOL99-1425-TAB,991101,60.7,33.9,40.7,53.6,5.7,Tabas
DOL99-1426-TAB,991101,59.9,34.1,0,0,0,Tabas
DOL99-1432-TAB,991101,61.1,31.7,0,0,0,Tabas
DOL99-1433-TAB,991101,60.9,31.6,0,0,0,Tabas
DOL99-1439-TAB,991102,61.1,33,45,53.6,1.4,Tabas
DOL99-1440-TAB,991103,60.6,33.8,36.4,60.7,2.9,Tabas
DOL99-1442-TAB,991103,59,33.8,0,0,0,Tabas
DOL99-1446-TAB,991104,60,33.8,46.4,53.6,0,Tabas
DOL99-1451-TAB,991105,58.9,33.4,22.2,65.7,12.1,Tabas
DOL99-1452-TAB,991105,62.4,34.2,0,0,0,Tabas
DOL99-1453-TAB,991105,61.3,35.9,0,0,0,Tabas
DOL99-1454-TAB,991105,61.4,32.8,0,0,0,Tabas
DOL99-1455-TAB,991105,57.9,35.2,0,0,0,Tabas
DOL99-1459-TAB,991106,62.2,32.5,33.6,66.4,0,Tabas
DOL99-1463-TAB,991107,61.9,33.9,25.7,67.9,6.4,Tabas
DOL99-1464-TAB,991107,61.2,32.6,0,0,0,Tabas
DOL99-1465-TAB,991107,63.5,34.2,0,0,0,Tabas
DOL99-1469-TAB,991108,57.8,35,10,88.6,1.4,Tabas
DOL99-1470-TAB,991108,60,33,0,0,0,Tabas
DOL99-1471-TAB,991108,60.7,33.8,0,0,0,Tabas
DOL99-1476-TAB,991109,61.1,33,41.4,45,13.6,Tabas
DOL99-1480-TAB,991110,62,34.5,59.3,40.7,0,Tabas
DOL99-1492-TAB,991113,59.6,36.3,23.6,70,6.4,Tabas
DOL99-1493-TAB,991113,58.3,36.2,0,0,0,Tabas
DOL99-1494-TAB,991113,60,36.2,0,0,0,Tabas
DOL99-1506-ARD,991118,49.8,33.3,7.1,90,2.9,Zareh Shahi (Ardakan)
DOL99-1507-ARD,991118,46.1,31.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1508-ARD,991118,48,32.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-1509-ARD,991118,49.2,33.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1510-ARD,991119,50.4,33.8,2.9,92.1,5,Zareh Shahi (Ardakan)
DOL99-1511-ARD,991119,50,33.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1512-ARD,991119,48.1,33,10,85.7,4.3,Zareh Shahi (Ardakan)
DOL99-1513-ARD,991119,49.5,32.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1514-ARD,991120,47.6,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-1515-ARD,991120,47.5,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-1516-ARD,991120,48.4,32,0,0,0,Zareh Shahi (Ardakan)
DOL99-1517-ARD,991121,48.7,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-1518-ARD,991121,47.6,31.8,5.7,90.7,3.6,Zareh Shahi (Ardakan)
DOL99-1519-ARD,991121,51,30.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-1520-ARD,991121,51,33,0,0,0,Zareh Shahi (Ardakan)
DOL99-1521-ARD,991122,48.7,33.4,10.7,85,4.3,Zareh Shahi (Ardakan)
